timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
137,7145,1,20160101,20190101,1,1,1,1,1,0,0,Victor Valley Mall - Wrightwood,Year-round calendar (Monday-Friday),Westbound,horizontal
138,3383,0,20160101,20190101,0,0,0,0,0,0,1,Victorville - Adelanto North,Year-round calendar (Sunday only),Eastbound,horizontal
139,3383,0,20160101,20190101,0,0,0,0,0,1,0,Victorville - Adelanto North,Year-round calendar (Saturday only),Eastbound,horizontal
140,3383,0,20160101,20190101,1,1,1,1,1,0,0,Victorville - Adelanto North,Year-round calendar (Monday-Friday),Eastbound,horizontal
141,3383,1,20160101,20190101,0,0,0,0,0,0,1,Victorville - Adelanto North,Year-round calendar (Sunday only),Westbound,horizontal
142,3383,1,20160101,20190101,0,0,0,0,0,1,0,Victorville - Adelanto North,Year-round calendar (Saturday only),Westbound,horizontal
143,3383,1,20160101,20190101,1,1,1,1,1,0,0,Victorville - Adelanto North,Year-round calendar (Monday-Friday),Westbound,horizontal
144,3382,0,20160101,20190101,0,0,0,0,0,0,1,Victorville - Adelanto South,Year-round calendar (Sunday only),Eastbound,horizontal
145,3382,0,20160101,20190101,0,0,0,0,0,1,0,Victorville - Adelanto South,Year-round calendar (Saturday only),Eastbound,horizontal
146,3382,0,20160101,20190101,1,1,1,1,1,0,0,Victorville - Adelanto South,Year-round calendar (Monday-Friday),Eastbound,horizontal
147,3382,1,20160101,20190101,0,0,0,0,0,0,1,Victorville - Adelanto South,Year-round calendar (Sunday only),Westbound,horizontal
148,3382,1,20160101,20190101,0,0,0,0,0,1,0,Victorville - Adelanto South,Year-round calendar (Saturday only),Westbound,horizontal
149,3382,1,20160101,20190101,1,1,1,1,1,0,0,Victorville - Adelanto South,Year-round calendar (Monday-Friday),Westbound,horizontal
150,3379,0,20160101,20190101,0,0,0,0,0,0,1,Victorville - Helendale,Year-round calendar (Sunday only),Northbound,horizontal
151,3379,0,20160101,20190101,0,0,0,0,0,1,0,Victorville - Helendale,Year-round calendar (Saturday only),Northbound,horizontal
152,3379,0,20160101,20190101,1,1,1,1,1,0,0,Victorville - Helendale,Year-round calendar (Monday-Friday),Northbound,horizontal
153,3379,1,20160101,20190101,0,0,0,0,0,0,1,Victorville - Helendale,Year-round calendar (Sunday only),Southbound,horizontal
154,3379,1,20160101,20190101,0,0,0,0,0,1,0,Victorville - Helendale,Year-round calendar (Saturday only),Southbound,horizontal
155,3379,1,20160101,20190101,1,1,1,1,1,0,0,Victorville - Helendale,Year-round calendar (Monday-Friday),Southbound,horizontal
156,3378,0,20160101,20190101,0,0,0,0,0,0,1,Victorville - Hesperia Post Office,Year-round calendar (Sunday only),Northbound,horizontal
157,3378,0,20160101,20190101,0,0,0,0,0,1,0,Victorville - Hesperia Post Office,Year-round calendar (Saturday only),Northbound,horizontal
158,3378,0,20160101,20190101,1,1,1,1,1,0,0,Victorville - Hesperia Post Office,Year-round calendar (Monday-Friday),Northbound,horizontal
159,3378,1,20160101,20190101,0,0,0,0,0,0,1,Victorville - Hesperia Post Office,Year-round calendar (Sunday only),Southbound,horizontal
160,3378,1,20160101,20190101,0,0,0,0,0,1,0,Victorville - Hesperia Post Office,Year-round calendar (Saturday only),Southbound,horizontal
161,3378,1,20160101,20190101,1,1,1,1,1,0,0,Victorville - Hesperia Post Office,Year-round calendar (Monday-Friday),Southbound,horizontal
162,3377,0,20160101,20190101,0,0,0,0,0,0,1,Victorville - Pinon Hills,Year-round calendar (Sunday only),Eastbound,horizontal
163,3377,0,20160101,20190101,0,0,0,0,0,1,0,Victorville - Pinon Hills,Year-round calendar (Saturday only),Eastbound,horizontal
164,3377,0,20160101,20190101,1,1,1,1,1,0,0,Victorville - Pinon Hills,Year-round calendar (Monday-Friday),Eastbound,horizontal
165,3377,1,20160101,20190101,0,0,0,0,0,0,1,Victorville - Pinon Hills,Year-round calendar (Sunday only),Westbound,horizontal
166,3377,1,20160101,20190101,0,0,0,0,0,1,0,Victorville - Pinon Hills,Year-round calendar (Saturday only),Westbound,horizontal
167,3377,1,20160101,20190101,1,1,1,1,1,0,0,Victorville - Pinon Hills,Year-round calendar (Monday-Friday),Westbound,horizontal
