stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
34.062469,,-117.599248,,5823,E Airport Dr 3rd St,Airport @ Terminal Way Eb Ns,0
34.15045,,-117.464772,,7867,Summit Av,Summit @ Lytle Creek Wb Ns,0
34.15044,,-117.453833,,7866,Summit Ave Edward Ave,Summit @ Citrus,0
34.092336,,-117.3704,,108,W Merrill Av Bloomington Av,Merrill & Riverside Wb Fs,0
34.000111,,-117.720282,,8094,Grand Av Cheyenne Ct,Grand @ Spectrum West Wb Fs,0
34.050968,,-117.641409,,7863,S Campus Av E Phillips St,Campus @ Phillips,0
34.106436,,-117.553023,,7862,Foothill Blvd Mayten Av,Foothill @ Mayten,0
34.106261,,-117.520188,,7860,Foothill Blvd Sacred Heart Pl,Foothill @ Corwall,0
34.106691,,-117.370219,,103,State Rte 66 E Foothill Blvd,Foothill & Riverside,0
34.106804,,-117.370483,,100,W Foothill Blvd N Orange Av,Foothill & Riverside,0
34.108262,,-117.322048,,104,W 5th St N Tiajuana St,5th @ Tiajuana Eb Ns,0
34.092232,,-117.370136,,105,E Merrill Av Bloomington Av,Merrill & Riverside,0
34.07075,,-117.581609,,5827,E Inland Empire Blvd E E Shelby St E,Inland Empire @ Shelby Eb Fs,0
34.070126,,-117.588103,,5826,E Inland Empire Blvd E,Inland Empire @ Via Molinara Eb Fs,0
34.121259,,-117.318373,,6378,W Baseline Rd W N Western Ave W,Baseline @ Western Eb Fs,0
34.121261,,-117.310923,,6379,W Baseline St N Garner Av,Baseline @ Garner Eb Fs,0
34.121293,,-117.366329,,6370,E Baseline Rd W Baseline Rd,Baseline @ Sycamore Eb Ns,0
34.121298,,-117.361205,,6371,E Baseline Rd N Acacia Av,Baseline @ Acacia Eb Fs,0
34.12129,,-117.357196,,6372,E Baseline Rd N Eucalyptus Av,Baseline @ Eucalyptus Eb Fs,0
34.121286,,-117.352805,,6373,E Baseline Rd N Meridian Av,Baseline @ Pepper Eb Fs,0
34.121301,,-117.349102,,6374,E Baseline Rd S N Pepper Ave S,Baseline @ Meridian Eb Ns,0
34.121239,,-117.330719,,6375,W Baseline Rd W N Pennsylvania Ave W,Baseline @ California Eb Fs,0
34.121311,,-117.325359,,6376,W Baseline St N Madison St,Baseline @ Madison Eb Ns,0
34.121188,,-117.322194,,6377,W Baseline Rd W N Tiajuana St W,Baseline @ Med Center Eb Fs,0
34.106392,,-117.52883,,7110_merged_950473,Foothill Blvd Sacred Heart Pl,Foothill @ Market Place Wb Fs,0
34.099667,,-117.660682,,7269,W Arrow Hwy N San Antonio Av,Arrow @ San Antonio Eb Fs,0
34.099635,,-117.664831,,7268,W Arrow Hwy Unnamed St,Arrow @ Coventry Sq Eb Ns,0
34.099608,,-117.676309,,7265,W Arrow Hwy N Fairwood Wy,Arrow @ Fairwood Eb Fs,0
34.099602,,-117.680568,,7264,W Arrow Hwy Unnamed St,Arrow @ Benson Eb Fs,0
34.099616,,-117.67004,,7267,W Arrow Hwy Unnamed St,Arrow @ Mountain Eb Fs,0
34.099637,,-117.672968,,7266,W Arrow Hwy Unnamed St,Arrow @ Silverwood Eb Fs,0
34.07772,,-117.702751,,7261,San Bernardino St Merrill Av,San Bernardino @ Helena Eb Ns,0
34.077792,,-117.705821,,7260,San Bernardino St Merrill Av,San Bernardino @ Ramona Eb Fs,0
34.099528,,-117.688266,,7263,W Arrow Route N Drake Av,Arrow @ Drake Eb Fs,0
34.095146,,-117.689986,,7262,W Richton St S N Central Ave S,Richton @ Central Eb Ns,0
34.088513,,-117.698275,,6202,Monte Vista Av Moreno St,Monte Vista @ Moreno Sb Fs,0
34.085184,,-117.698281,,6203,Monte Vista Av S Plaza Ln,Monte Vista @ San Jose Sb Ns,0
34.104494,,-117.289375,,6808,W 3rd St N Mountain View Av,3rd @ Arrowhead Eb Fs,0
34.104518,,-117.284658,,6809,E 3rd St N Sierra Way,3rd @ Sierra Eb Fs,0
34.070435,,-117.431049,,6806,Valley Blvd Unnamed St,Valley @ Health Care Way Wb Fs,0
34.07044,,-117.427665,,6804,Valley Blvd Palmetto Ave,Valley @ Palmetto Wb Fs,0
34.07043,,-117.433735,,6805,Valley Blvd Health Care Pky,Valley @ Vineyard Valley Wb Fs,0
34.070463,,-117.419031,,6802,Valley Blvd Alder Ave,Valley @ Alder Wb Fs,0
34.070453,,-117.42355,,6803,Valley Blvd Larch Av,Valley @ Bel Aire Swap Meet Mid,0
34.070501,,-117.401434,,6800,Valley Blvd Locust Ave,Valley @ Linden Wb Fs,0
34.070493,,-117.408922,,6801,Valley Blvd Linden Ave,Valley @ Locust Wb Ns,0
34.108372,,-117.324289,,99,W 5th St N Gardena St,5th @ Medical Ctr Wb Fs,0
34.057409,,-117.183538,,95,W Redlands Blvd E Redlands Blvd,Redlands Mall,0
34.057248,,-117.183765,,94,W Redlands Blvd E Redlands Blvd,Redlands Mall,0
34.048434,,-117.248097,,5182,Barton Rd Loma Linda Dr,Barton @ Loma Linda Wb Ns,0
34.048449,,-117.244103,,5181,Barton Rd Mountain View Av,Barton @ Mountain View Wb Fs,0
34.051302,,-117.265549,,5186,Campus St Prospect Av,Campus @ University Nb Ns,0
34.048385,,-117.261258,,5184,Barton Rd Anderson St,Barton @ Anderson Wb Fs,0
34.052061,,-117.271574,,5189,University Av Rosarita Dr,University @ Rosarita Wb Ns,0
34.08448,,-117.558339,,551,Milliken Av 6th St,Milliken @ 6th Sb Fs,0
34.094501,,-117.556351,,550,Milliken Av Arrow Route,Milliken @ Jersey Sb Fs,0
34.077529,,-117.558193,,553,Milliken Av Mall Dr,Milliken @ 4th Street Nb Fs,0
34.080856,,-117.558323,,552,Milliken Av 5th St,Milliken @ 5th Sb Fs,0
