timetable_id,stop_id,stop_sequence,stop_name,connected_routes
29,12156,5,Butte House Rd. and Yuba City Mall Signal Ent.,"1/Yuba City to Yuba College, 2A/Yuba City Loop"
29,12237,6,Washington Ave. and Gray Ave.,"2A/Yuba City Loop, 2B/Yuba City Loop"
29,12238,7,Washington Ave. and Clark Ave.,"2A/Yuba City Loop, 2B/Yuba City Loop"
29,12239,8,Ainsley Ave. and Clark Ave.,"2A/Yuba City Loop, 2B/Yuba City Loop"
29,12240,9,Ainsley Ave. and Yuba City Senior Center,"2A/Yuba City Loop, 2B/Yuba City Loop"
29,12241,10,Gray Ave. and Queens Ave.,2A/Yuba City Loop
29,12243,11,Gray Ave. and Casita Dr.,2A/Yuba City Loop
29,12245,12,Northgate Dr. and Gray Ave.,2A/Yuba City Loop
29,12247,13,Northgate Dr. and Clark Ave.,2A/Yuba City Loop
29,12249,14,Northgate Dr. and Live Oak Blvd.,2A/Yuba City Loop
29,12251,15,Yuba-Sutter Mental Health ,"2A/Yuba City Loop, 2B/Yuba City Loop"
29,12252,16,Queens Ave. and Live Oak Blvd. (Brundy Ct.),2A/Yuba City Loop
29,12254,17,Plumas St. and Alemar Way,2A/Yuba City Loop
29,12256,18,Plumas St. and Sutter Estates (south ent.),2A/Yuba City Loop
29,12258,19,Plumas St. and Ainsley Ave.,2A/Yuba City Loop
29,12261,20,Plumas St. and Fremont Hospital (front door),2A/Yuba City Loop
29,12172,21,Alturas St. and Shasta St.,"1/Yuba City to Yuba College, 2A/Yuba City Loop, 2B/Yuba City Loop, /Live Oak Route"
29,12171,22,Plumas St.  and Church St.,"1/Yuba City to Yuba College, 2A/Yuba City Loop"
29,12174,23,Plumas St. and Bridge St.,2A/Yuba City Loop
29,12176,24,Plumas Street and B Street,2A/Yuba City Loop
29,12178,25,C Street and Wilbur Avenue,2A/Yuba City Loop
29,12181,26,Wilbur Ave. and Franklin Ave.,2A/Yuba City Loop
29,12182,27,Wilbur Ave. and Career Placement Center,2A/Yuba City Loop
29,12184,28,Wilbur Ave. and Garden Hwy.,2A/Yuba City Loop
29,12186,29,Garden Hwy. and Percy Ave.,2A/Yuba City Loop
29,12188,30,Garden Hwy. and Winship Rd.,2A/Yuba City Loop
29,12190,31,Lincoln Rd. and Garden Hwy.,2A/Yuba City Loop
29,12193,32,Lincoln Rd. and Railroad Ave.,2A/Yuba City Loop
29,12194,33,Clark Ave. and Richland Rd.,2A/Yuba City Loop
29,12196,34,Clark Ave. and Julie Dr. (Hillcrest Plaza),2A/Yuba City Loop
29,12197,35,Franklin Road and Clark Avenue (Tennis Courts),2A/Yuba City Loop
29,12200,36,Gray Avenue and Franklin Road,2A/Yuba City Loop
29,12201,37,Gray Avenue and B Street,2A/Yuba City Loop
29,12203,38,Bridge St. and Gray Ave. (Save Mart),2A/Yuba City Loop
29,12434,39,Bridge St and ToysRUs,"2A/Yuba City Loop, 5/Southwest Yuba City"
29,12208,40,Bridge Street and JoAnn Way,"2A/Yuba City Loop, 5/Southwest Yuba City"
29,12209,41,Walton Ave. and Bridge St.,"2A/Yuba City Loop, 5/Southwest Yuba City"
29,14926,42,Walton Ave & Sam's Club Entrance (NB),"2A/Yuba City Loop, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
30,14926,1,Walton Ave & Sam's Club Entrance (NB),"2A/Yuba City Loop, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
30,12153,2,Stabler Ln. and Starr Drive,2A/Yuba City Loop
30,12151,3,Butte House Rd. and Stabler Ln. (Rite-Aid),"1/Yuba City to Yuba College, 2A/Yuba City Loop"
30,12154,4,Butte House Rd. and Civic Center Blvd.,"1/Yuba City to Yuba College, 2A/Yuba City Loop"
30,12156,5,Butte House Rd. and Yuba City Mall Signal Ent.,"1/Yuba City to Yuba College, 2A/Yuba City Loop"
30,12237,6,Washington Ave. and Gray Ave.,"2A/Yuba City Loop, 2B/Yuba City Loop"
30,12238,7,Washington Ave. and Clark Ave.,"2A/Yuba City Loop, 2B/Yuba City Loop"
30,12239,8,Ainsley Ave. and Clark Ave.,"2A/Yuba City Loop, 2B/Yuba City Loop"
30,12240,9,Ainsley Ave. and Yuba City Senior Center,"2A/Yuba City Loop, 2B/Yuba City Loop"
30,12241,10,Gray Ave. and Queens Ave.,2A/Yuba City Loop
30,12243,11,Gray Ave. and Casita Dr.,2A/Yuba City Loop
30,12245,12,Northgate Dr. and Gray Ave.,2A/Yuba City Loop
30,12247,13,Northgate Dr. and Clark Ave.,2A/Yuba City Loop
30,12249,14,Northgate Dr. and Live Oak Blvd.,2A/Yuba City Loop
30,12251,15,Yuba-Sutter Mental Health ,"2A/Yuba City Loop, 2B/Yuba City Loop"
30,12252,16,Queens Ave. and Live Oak Blvd. (Brundy Ct.),2A/Yuba City Loop
30,12254,17,Plumas St. and Alemar Way,2A/Yuba City Loop
30,12256,18,Plumas St. and Sutter Estates (south ent.),2A/Yuba City Loop
30,12258,19,Plumas St. and Ainsley Ave.,2A/Yuba City Loop
30,12261,20,Plumas St. and Fremont Hospital (front door),2A/Yuba City Loop
30,12172,21,Alturas St. and Shasta St.,"1/Yuba City to Yuba College, 2A/Yuba City Loop, 2B/Yuba City Loop, /Live Oak Route"
30,12171,22,Plumas St.  and Church St.,"1/Yuba City to Yuba College, 2A/Yuba City Loop"
30,12174,23,Plumas St. and Bridge St.,2A/Yuba City Loop
30,12176,24,Plumas Street and B Street,2A/Yuba City Loop
30,12178,25,C Street and Wilbur Avenue,2A/Yuba City Loop
30,12181,26,Wilbur Ave. and Franklin Ave.,2A/Yuba City Loop
30,12182,27,Wilbur Ave. and Career Placement Center,2A/Yuba City Loop
30,12184,28,Wilbur Ave. and Garden Hwy.,2A/Yuba City Loop
30,12186,29,Garden Hwy. and Percy Ave.,2A/Yuba City Loop
30,12188,30,Garden Hwy. and Winship Rd.,2A/Yuba City Loop
30,12190,31,Lincoln Rd. and Garden Hwy.,2A/Yuba City Loop
30,12193,32,Lincoln Rd. and Railroad Ave.,2A/Yuba City Loop
30,12194,33,Clark Ave. and Richland Rd.,2A/Yuba City Loop
30,12196,34,Clark Ave. and Julie Dr. (Hillcrest Plaza),2A/Yuba City Loop
30,12197,35,Franklin Road and Clark Avenue (Tennis Courts),2A/Yuba City Loop
30,12200,36,Gray Avenue and Franklin Road,2A/Yuba City Loop
30,12201,37,Gray Avenue and B Street,2A/Yuba City Loop
30,12203,38,Bridge St. and Gray Ave. (Save Mart),2A/Yuba City Loop
30,12434,39,Bridge St and ToysRUs,"2A/Yuba City Loop, 5/Southwest Yuba City"
30,12208,40,Bridge Street and JoAnn Way,"2A/Yuba City Loop, 5/Southwest Yuba City"
30,12209,41,Walton Ave. and Bridge St.,"2A/Yuba City Loop, 5/Southwest Yuba City"
30,14926,42,Walton Ave & Sam's Club Entrance (NB),"2A/Yuba City Loop, 99/HWY 99 to Sacramento, MD/Sacramento Mid Day Express"
31,12433,1,Walton Terminal Sam's Club,"1/Yuba City to Yuba College, 2B/Yuba City Loop, 5/Southwest Yuba City"
31,12210,2,Bridge St. and Walton Ave.,"2B/Yuba City Loop, 5/Southwest Yuba City"
31,12207,3,Bridge St. and JoAnn Way,"2B/Yuba City Loop, 5/Southwest Yuba City"
31,12205,4,Bridge St. and Oji Way,"2B/Yuba City Loop, 5/Southwest Yuba City"
31,12204,5,Bridge St. and North Barrett Rd.,2B/Yuba City Loop
31,12202,6,Gray Avenue and B Street,2B/Yuba City Loop
31,12199,7,Franklin Road and Gray Ave.,2B/Yuba City Loop
31,12198,8,Clark Ave. and Franklin Ave.,2B/Yuba City Loop
31,12435,9,Clark Ave and Julie Dr at St. Isadore's,2B/Yuba City Loop
31,12195,10,Bunce Rd. and Richland Rd.,2B/Yuba City Loop
31,12192,11,Lincoln Rd. and Railroad Ave.,"2B/Yuba City Loop, 5/Southwest Yuba City"
31,12191,12,Lincoln Rd. and Garden Hwy.,"2B/Yuba City Loop, 5/Southwest Yuba City"
31,12189,13,Garden Hwy. and Winship Rd.,2B/Yuba City Loop
31,12187,14,Garden Hwy. and Percy Ave.,2B/Yuba City Loop
31,12185,15,Wilbur Ave. and Garden Hwy.,2B/Yuba City Loop
31,12183,16,Wilbur Ave. and Fairview MHP Entrance,2B/Yuba City Loop
31,12180,17,Wilbur Avenue and Franklin Road,2B/Yuba City Loop
31,12179,18,C Street and Wilbur Avenue,2B/Yuba City Loop
31,12177,19,Plumas Street and Town Square,2B/Yuba City Loop
31,12175,20,Plumas St. and Bridge St.,2B/Yuba City Loop
31,12170,21,Plumas St. and Church St.,"1/Yuba City to Yuba College, 2B/Yuba City Loop"
31,12172,22,Alturas St. and Shasta St.,"1/Yuba City to Yuba College, 2A/Yuba City Loop, 2B/Yuba City Loop, /Live Oak Route"
31,12260,23,Plumas St. and Fremont Hospital,2B/Yuba City Loop
31,12259,24,Plumas St. and Ainsley Ave.,2B/Yuba City Loop
31,12257,25,Plumas St. and Sutter Estates (south ent.),2B/Yuba City Loop
31,12255,26,Plumas St. and Alemar Way,2B/Yuba City Loop
31,12253,27,Queens Ave. and Live Oak Blvd. (Brundy Ct.),2B/Yuba City Loop
31,12251,28,Yuba-Sutter Mental Health ,"2A/Yuba City Loop, 2B/Yuba City Loop"
31,12250,29,Northgate Dr. and Live Oak Blvd.,2B/Yuba City Loop
31,12248,30,Northgate Dr. and Clark Ave.,2B/Yuba City Loop
31,12246,31,Northgate Dr. and Gray Ave.,2B/Yuba City Loop
31,12244,32,Gray Ave. and Casita Dr.,2B/Yuba City Loop
31,12242,33,Gray Ave. and Queens Ave.,2B/Yuba City Loop
31,12237,34,Washington Ave. and Gray Ave.,"2A/Yuba City Loop, 2B/Yuba City Loop"
31,12238,35,Washington Ave. and Clark Ave.,"2A/Yuba City Loop, 2B/Yuba City Loop"
31,12239,36,Ainsley Ave. and Clark Ave.,"2A/Yuba City Loop, 2B/Yuba City Loop"
31,12240,37,Ainsley Ave. and Yuba City Senior Center,"2A/Yuba City Loop, 2B/Yuba City Loop"
31,12157,38,Butte House Rd. and Target Entrance,"1/Yuba City to Yuba College, 2B/Yuba City Loop"
31,12155,39,Butte House Rd. and El Dorado Lane,"1/Yuba City to Yuba College, 2B/Yuba City Loop"
31,12150,40,Stabler Ln. and Butte House Rd.,"1/Yuba City to Yuba College, 2B/Yuba City Loop, 5/Southwest Yuba City"
31,12152,41,Stabler Ln. and Starr Drive,"1/Yuba City to Yuba College, 2B/Yuba City Loop, 5/Southwest Yuba City"
31,12433,42,Walton Terminal Sam's Club,"1/Yuba City to Yuba College, 2B/Yuba City Loop, 5/Southwest Yuba City"
32,12433,1,Walton Terminal Sam's Club,"1/Yuba City to Yuba College, 2B/Yuba City Loop, 5/Southwest Yuba City"
32,12210,2,Bridge St. and Walton Ave.,"2B/Yuba City Loop, 5/Southwest Yuba City"
32,12207,3,Bridge St. and JoAnn Way,"2B/Yuba City Loop, 5/Southwest Yuba City"
32,12205,4,Bridge St. and Oji Way,"2B/Yuba City Loop, 5/Southwest Yuba City"
32,12204,5,Bridge St. and North Barrett Rd.,2B/Yuba City Loop
32,12202,6,Gray Avenue and B Street,2B/Yuba City Loop
32,12199,7,Franklin Road and Gray Ave.,2B/Yuba City Loop
32,12198,8,Clark Ave. and Franklin Ave.,2B/Yuba City Loop
32,12435,9,Clark Ave and Julie Dr at St. Isadore's,2B/Yuba City Loop
32,12195,10,Bunce Rd. and Richland Rd.,2B/Yuba City Loop
32,12192,11,Lincoln Rd. and Railroad Ave.,"2B/Yuba City Loop, 5/Southwest Yuba City"
