stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3181,1,6TH AVE & CLEMENT ST  , ,37.783026,-122.464526, , 
3182,1,6TH AVE & CORNWALL ST  , ,37.784673,-122.46448, , 
3183,1,6TH AVE & FULTON ST  , ,37.773809,-122.463745, , 
3184,1,6TH AVE & GEARY BLVD  , ,37.780876,-122.464182, , 
3185,1,6TH AVE & GEARY BLVD  , ,37.780768,-122.464354, , 
3187,1,6TH ST & HARRISON ST   , ,37.77732,-122.40424, , 
3188,1,1697 7TH AVE  , ,37.756597,-122.463741, , 
3189,1,1697 7TH AVE, ,37.756767,-122.46357, , 
3191,1,7TH ST & BRANNAN ST   , ,37.773266,-122.403367, , 
3192,1,7TH ST & FOLSOM ST   , ,37.776864,-122.407904, , 
3193,1,7TH ST & HARRISON ST   , ,37.77573,-122.40646, , 
3194,1,7TH ST & HOWARD ST   , ,37.777935,-122.409222, , 
3195,1,7TH ST & MISSION ST   , ,37.779327,-122.411032, , 
3196,1,7TH ST & MARKET ST   , ,37.780309,-122.412395, , 
3197,1,7TH ST & TOWNSEND ST   , ,37.772034,-122.401821, , 
3200,1,8TH AVE & CABRILLO ST  , ,37.775022,-122.466095, , 
3201,1,8TH AVE & FULTON ST  , ,37.773639,-122.465808, , 
3202,1,8TH AVE & FULTON ST  , ,37.773478,-122.46598, , 
3203,1,8TH ST & BRANNAN ST   , ,37.771554,-122.405901, , 
3204,1,8TH ST & BRYANT ST   , ,37.772536,-122.407127, , 
3205,1,8TH ST & FOLSOM ST   , ,37.774767,-122.409922, , 
3206,1,8TH ST & HARRISON ST   , ,37.773536,-122.408376, , 
3208,1,8TH ST & MISSION ST   , ,37.77724,-122.413027, , 
3209,1,8TH ST & MARKET ST   , ,37.778498,-122.414597, , 
3210,1,8TH ST & TOWNSEND ST   , ,37.770161,-122.404126, , 
3211,1,9TH AVE & IRVING ST  , ,37.764288,-122.466241, , 
3212,1,9TH AVE & IRVING ST  , ,37.763913,-122.466241, , 
3213,1,9TH AVE & IRVING ST  , ,37.763797,-122.46639, , 
3214,1,9TH AVE & JUDAH ST  , ,37.762093,-122.46608, , 
3215,1,9TH AVE & JUDAH ST  , ,37.76204,-122.466241, , 
3216,1,9TH AVE & KIRKHAM ST  , ,37.760407,-122.466149, , 
3217,1,9TH AVE & KIRKHAM ST  , ,37.760237,-122.465954, , 
3218,1,9TH AVE & LAWTON ST  , ,37.758533,-122.466022, , 
3219,1,9TH AVE & LAWTON ST  , ,37.758364,-122.465827, , 
3220,1,9TH AVE & LINCOLN WAY  , ,37.76585,-122.466345, , 
