stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0512,0512,Carmelo / 13th Ave,,36.54651,-121.9270142,,,0,
0515,0515,Carmelo / Santa Lucia,,36.545353,-121.926985,,,0,
0521,0521,Santa Lucia / Monte Verde,,36.544629,-121.924584,,,0,
0523,0523,Santa Lucia / Dolores,,36.544242,-121.92247,,,0,
0524,0524,Monte Verde / 13th Ave,,36.546546,-121.924363,,,0,
0525,0525,Santa Lucia / Mission,,36.544604,-121.920809,,,0,
0527,0527,Monte Cerde / 11th Ave,,36.54893,-121.924378,,,0,
0530,0530,Monte Verde / 9th Ave,,36.551231,-121.924406,,,0,
0533,0533,Lincoln / Carmel Foundation,,36.552697,-121.923512,,,0,
0615,0615,Casanova / 803 Casanova,,36.595756,-121.850764,,,0,
0623,0623,Yosemite / Broadway,,36.60842,-121.82921,,,0,
0625,0625,Yosemite / Sonoma Ave,,36.60567,-121.830292,,,0,
0627,0627,Yosemite / Wanda Ave,,36.603877,-121.830209,,,0,
0630,0630,Yosemite / Hilby Ave,,36.602445,-121.830537,,,0,
0633,0633,Hilby / Mescal,,36.602213,-121.827402,,,0,
0643,0643,Wheeler / Hilby Ave,,36.6020745,-121.8455644,,,0,
0645,0645,Wheeler / Kimball Ave,,36.599792,-121.845643,,,0,
0654,0654,Casanova / Fremont Street,,36.597264,-121.852807,,,0,
0657,0657,Casanova / 800 Casavova,,36.595534,-121.85058,,,0,
0660,0660,Euclid  / Casanova,,36.59429,-121.849489,,,0,
0705,0705,Broadway / San Lucas Street,,36.60919,-121.840482,,,0,
0707,0707,Broadway / Fremont,,36.609135,-121.844631,,,0,
0710,0710,Broadway / Terrace St,,36.609031,-121.842447,,,0,
0711,0711,Broadway / San Lucas Street,,36.608993,-121.839991,,,0,
0716,0716,Gen Moore Blvd / San Pablo,,36.614665,-121.81975,,,0,
0722,0722,Gen Moore Blvd / Arloncourt Rd,,36.628283,-121.814182,,,0,
0725,0725,Gen Moore Blvd / Ardennes,,36.6346,-121.811088,,,0,
0728,0728,Gen Moore Blvd / Normandy,,36.637528,-121.809623,,,0,
0755,0755,Gen Moore Blvd / Gigling Road,,36.643403,-121.807043,,,0,
0758,0758,Gen Moore Blvd / Normandy,,36.636761,-121.810277,,,0,
0761,0761,Gen Moore Blvd /  Bayonet Drive,,36.632861,-121.812259,,,0,
0764,0764,Gen Moore Blvd / Mc Clure,,36.627573,-121.814671,,,0,
0767,0767,Gen Moore Blvd / Coe Ave,,36.621144,-121.817656,,,0,
0770,0770,Gen Moore Blvd / San Pablo,,36.613658,-121.820579,,,0,
0775,0775,Broadway / Yosemite Street,,36.608984,-121.829234,,,0,
0779,0779,Broadway / Darwin,,36.609042,-121.832488,,,0,
0782,0782,Broadway / Flores,,36.609073,-121.833793,,,0,
0785,0785,Broadway / Noche Buena,,36.609162,-121.838531,,,0,
0788,0788,Broadway / Terrace,,36.60924,-121.843327,,,0,
0816,0816,Canyon Del Rey / Fremont,,36.598296,-121.850255,,,0,
0819,0819,Rosita Rd / Angelus,,36.594543,-121.844886,,,0,
0822,0822,Rosita Rd / Paloma,,36.593048,-121.844274,,,0,
0825,0825,Rosita Rd / 999 Rosita Rd,,36.592654,-121.840951,,,0,
0828,0828,Rosita Rd / Chiquito,,36.591764,-121.838275,,,0,
0830,0830,Ryan Ranch Rd / MST,,36.584172,-121.827746,,,0,
0831,0831,Paloma Rd / 1020 Paloma,,36.592835,-121.839132,,,0,
0834,0834,Via Verde / Durbin,,36.593705,-121.839797,,,0,
0837,0837,Via Verde / Los Encinos,,36.592924,-121.836706,,,0,
0839,0839,Canyon Del Rey / Carlton Drive,,36.594105,-121.836476,,,0,
0840,0840,Canyon Del Rey / The Oaks,,36.589245,-121.831923,,,0,
0841,0841,Via Verde / Canyon Del Rey,,36.593204,-121.835489,,,0,
0842,0842,Canyon Del Rey / Del Rey Gardens,,36.586126,-121.830531,,,0,
0844,0844,Canyon Del Rey / Del Rey Gardens,,36.585953,-121.830315,,,0,
0845,0845,Ryan Ranch / MST,,36.584081,-121.827625,,,0,
0847,0847,Ryan Ranch Rd / CTB McGraw-Hill,,36.585279,-121.825162,,,0,
0849,0849,Portola Dr / Tweed,,36.596457,-121.841006,,,0,
0852,0852,Portola Drive / Boronda Way,,36.596301,-121.844388,,,0,
0855,0855,Portola Dr / Canyon Street,,36.597102,-121.847479,,,0,
0858,0858,Canyon Del Rey Blvd / Fremont,,36.598268,-121.849966,,,0,
0875,0875,Euclid / Ramona,,36.594095,-121.851498,,,0,
0901,0901,Hilby Ave / Fremont Blvd,,36.602554,-121.847666,,,0,
0904,0904,Hilby / Wheeler,,36.602498,-121.84576,,,0,
0905,0905,Hilby / Shafer,,36.602522,-121.842565,,,0,
0907,0907,Noche Buena / Broadway,,36.609273,-121.837675,,,0,
0910,0910,Noche Buena / Mingo,,36.612031,-121.837591,,,0,
0925,0925,Yosemite / La Salle,,36.616449,-121.82798,,,0,
0928,0928,Yosemite / Ord Grove,,36.61886,-121.828065,,,0,
0931,0931,Ord Grove / Mendocino,,36.619205,-121.829291,,,0,
0934,0934,Ord Grove / 1535 Ord Grove,,36.619234,-121.831696,,,0,
0937,0937,Ord Grove / Waring,,36.619393,-121.834925,,,0,
0940,0940,Ord Grove / Noche Buena,,36.619439,-121.838592,,,0,
0949,0949,Fremont / Echo,,36.613677,-121.843471,,,0,
0951,0951,La Salle / Lowell Street,,36.61666,-121.836452,,,0,
0955,0955,Fremont / Broadway,,36.608894,-121.845938,,,0,
0957,0957,Fremont / Francis Avenue,,36.601644,-121.849309,,,0,
0958,0958,Fremont / Amador,,36.606709,-121.846944,,,0,
0959,0959,Fremont / Trinity Avenue,,36.604849,-121.847847,,,0,
0961,0961,Fremont / Harcourt,,36.603607,-121.848396,,,0,
1001,1001,Fremont / Hilby Avenue,,36.602922,-121.84846,,,0,
1004,1004,Fremont / Trinity Avenue,,36.604711,-121.847603,,,0,
1007,1007,Fremont / Elm Avenue,,36.607931,-121.846101,,,0,
1010,1010,Fremont / Broadway,,36.609437,-121.845308,,,0,
1016,1016,Fremont / Echo,,36.613546,-121.842936,,,0,
1022,1022,Ord Grove / Noche Buena,,36.619292,-121.837784,,,0,
1025,1025,Ord Grove / Waring,,36.619198,-121.834453,,,0,
1028,1028,Ord Grove / Luzern,,36.619188,-121.830483,,,0,
1031,1031,Ord Grove / Mendocino,,36.619165,-121.828683,,,0,
1034,1034,Yosemite / La Salle,,36.616477,-121.828054,,,0,
1037,1037,Yosemite / San Pablo Avenue,,36.614851,-121.828098,,,0,
1043,1043,San Pablo / Waring,,36.614783,-121.834681,,,0,
1046,1046,San Pablo Ave / Noche Buena,,36.614777,-121.837177,,,0,
1049,1049,Noche Buena / Mingo,,36.611688,-121.837697,,,0,
1052,1052,Noche Buena / Broadway,,36.609278,-121.837766,,,0,
1055,1055,Noche Buena / Sonoma Avenue,,36.606178,-121.837859,,,0,
1058,1058,Noche Buena / Wanda,,36.60398,-121.83792,,,0,
1061,1061,Noche Buena / Hilby Avenue,,36.602568,-121.837957,,,0,
1064,1064,Hilby / San Lucas Street,,36.602507,-121.840694,,,0,
1067,1067,Hilby / Wheeler,,36.602561,-121.845845,,,0,
1070,1070,Hilby /  Virginia,,36.602626,-121.847894,,,0,
