trip_id,stop_id
9673948-124-A-Weekday-55,316903
9673948-124-A-Weekday-55,315608
9673948-124-A-Weekday-55,315003
9673948-124-A-Weekday-55,315035
9673948-124-A-Weekday-55,315033
9673948-124-A-Weekday-55,315617
9673948-124-A-Weekday-55,315040
9673948-124-A-Weekday-55,315614
9673948-124-A-Weekday-55,315609
9673948-124-A-Weekday-55,314012
9673948-124-A-Weekday-55,314002
9673948-124-A-Weekday-55,314901
9673948-124-A-Weekday-55,313011
9673948-124-A-Weekday-55,312018
9673948-124-A-Weekday-55,312008
9673948-124-A-Weekday-55,312009
9673948-124-A-Weekday-55,311106
9673949-124-A-Weekday-55,315608
9673949-124-A-Weekday-55,315003
9673949-124-A-Weekday-55,315035
9673949-124-A-Weekday-55,315033
9673949-124-A-Weekday-55,315617
9673949-124-A-Weekday-55,315040
9673949-124-A-Weekday-55,315614
9673949-124-A-Weekday-55,315609
9673949-124-A-Weekday-55,314012
9673949-124-A-Weekday-55,314002
9673949-124-A-Weekday-55,314901
9673949-124-A-Weekday-55,313011
9673949-124-A-Weekday-55,312018
9673949-124-A-Weekday-55,312008
9673949-124-A-Weekday-55,312009
9673949-124-A-Weekday-55,311106
9673950-124-A-Weekday-55,315608
9673950-124-A-Weekday-55,315003
9673950-124-A-Weekday-55,315035
9673950-124-A-Weekday-55,315033
9673950-124-A-Weekday-55,315617
9673950-124-A-Weekday-55,315040
9673950-124-A-Weekday-55,315614
9673950-124-A-Weekday-55,315609
9673950-124-A-Weekday-55,314012
9673950-124-A-Weekday-55,314002
9673950-124-A-Weekday-55,314901
9673950-124-A-Weekday-55,313011
9673950-124-A-Weekday-55,312018
9673950-124-A-Weekday-55,312008
9673950-124-A-Weekday-55,312009
9673950-124-A-Weekday-55,311106
9673951-124-A-Weekday-55,315608
9673951-124-A-Weekday-55,315467
9673951-124-A-Weekday-55,315003
9673951-124-A-Weekday-55,315035
9673951-124-A-Weekday-55,315033
9673951-124-A-Weekday-55,315617
9673951-124-A-Weekday-55,315040
9673951-124-A-Weekday-55,315614
9673951-124-A-Weekday-55,315609
9673951-124-A-Weekday-55,314012
9673951-124-A-Weekday-55,314002
9673951-124-A-Weekday-55,314901
9673951-124-A-Weekday-55,313011
9673951-124-A-Weekday-55,312018
9673951-124-A-Weekday-55,312008
9673951-124-A-Weekday-55,312009
9673951-124-A-Weekday-55,311106
9673952-124-A-Weekday-55,311106
9673952-124-A-Weekday-55,312008
9673952-124-A-Weekday-55,313604
9673952-124-A-Weekday-55,313001
9673952-124-A-Weekday-55,314900
9673952-124-A-Weekday-55,314006
9673952-124-A-Weekday-55,314011
9673952-124-A-Weekday-55,315040
9673952-124-A-Weekday-55,315614
9673952-124-A-Weekday-55,315612
9673952-124-A-Weekday-55,315604
9673952-124-A-Weekday-55,315606
9673952-124-A-Weekday-55,315608
9673953-124-A-Weekday-55,311106
9673953-124-A-Weekday-55,312008
