trip_id,realtime_trip_id
9921994-124-C-Weekday-53,2741015
9921995-124-C-Weekday-53,3981002
9921996-124-C-Weekday-53,2741017
9921997-124-C-Weekday-53,3981004
9921998-124-C-Weekday-53,2741021
9921999-124-C-Weekday-53,2741023
9922000-124-C-Weekday-53,3981006
9922001-124-C-Weekday-53,2741025
9922002-124-C-Weekday-53,2741027
9922003-124-C-Weekday-53,3981008
9922004-124-C-Weekday-53,2741029
9922005-124-C-Weekday-53,2741031
9922006-124-C-Weekday-53,3981010
9922007-124-C-Weekday-53,2741033
9922008-124-C-Weekday-53,2741035
9922009-124-C-Weekday-53,3981012
9922010-124-C-Weekday-53,2741037
9922011-124-C-Weekday-53,2741039
9922012-124-C-Weekday-53,3981014
9922013-124-C-Weekday-53,2741041
9922014-124-C-Weekday-53,3981016
9922015-124-C-Weekday-53,2741043
9922016-124-C-Weekday-53,2741045
9922017-124-C-Weekday-53,3981018
9922018-124-C-Weekday-53,2741047
9922019-124-C-Weekday-53,2741049
9922020-124-C-Weekday-53,3981020
9922021-124-C-Weekday-53,2741051
9922022-124-C-Weekday-53,2741053
9922023-124-C-Weekday-53,3981022
9922024-124-C-Weekday-53,2741055
9922025-124-C-Weekday-53,3981024
9922026-124-C-Weekday-53,2741057
9922027-124-C-Weekday-53,3981026
9922028-124-C-Weekday-53,2741059
9922029-124-C-Weekday-53,3981028
9922030-124-C-Weekday-53,2741061
9922031-124-C-Weekday-53,2941001
9922032-124-C-Weekday-53,2941003
9922033-124-C-Weekday-53,2941005
9922034-124-C-Weekday-53,2941007
9922035-124-C-Weekday-53,2941009
9922036-124-C-Weekday-53,2741019
9922037-124-C-Weekday-53,2921046
9922038-124-C-Weekday-53,2921032
9922039-124-C-Weekday-53,2921002
9922040-124-C-Weekday-53,2921022
9922041-124-C-Weekday-53,2921042
9922042-124-C-Weekday-53,2921050
9922043-124-C-Weekday-53,2921066
9922044-124-C-Weekday-53,2921078
9922045-124-C-Weekday-53,2921088
9922046-124-C-Weekday-53,2921092
9922047-124-C-Weekday-53,2921020
9922048-124-C-Weekday-53,2921068
9922049-124-C-Weekday-53,2921010
9922050-124-C-Weekday-53,2921036
9922051-124-C-Weekday-53,2921034
9922052-124-C-Weekday-53,2921080
9922053-124-C-Weekday-53,2921074
9922054-124-C-Weekday-53,2921084
9922055-124-C-Weekday-53,2921012
9922056-124-C-Weekday-53,2921048
9922057-124-C-Weekday-53,2921040
9922058-124-C-Weekday-53,2921006
9922059-124-C-Weekday-53,2921018
9922060-124-C-Weekday-53,2921014
9922061-124-C-Weekday-53,2921044
9922062-124-C-Weekday-53,2921038
9922063-124-C-Weekday-53,2921052
9922064-124-C-Weekday-53,2921054
9922065-124-C-Weekday-53,2921062
9922066-124-C-Weekday-53,2921060
9922067-124-C-Weekday-53,2921028
9922068-124-C-Weekday-53,2921030
9922069-124-C-Weekday-53,2921026
9922070-124-C-Weekday-53,2921016
9922071-124-C-Weekday-53,2921090
9922072-124-C-Weekday-53,2921004
9922073-124-C-Weekday-53,2921024
9922074-124-C-Weekday-53,2921064
9922075-124-C-Weekday-53,2921072
9922076-124-C-Weekday-53,2921076
9922077-124-C-Weekday-53,2921082
9922078-124-C-Weekday-53,2921086
9922079-124-C-Weekday-53,2921008
9922080-124-C-Weekday-53,2921070
9922081-124-C-Weekday-53,2921056
9922082-124-C-Weekday-53,2921058
9922083-124-C-Weekday-53,2921077
9922084-124-C-Weekday-53,2921065
9922085-124-C-Weekday-53,2921055
9922086-124-C-Weekday-53,2921059
9922087-124-C-Weekday-53,2921047
9922088-124-C-Weekday-53,2921039
9922089-124-C-Weekday-53,2921029
9922090-124-C-Weekday-53,2921025
9922091-124-C-Weekday-53,2921021
9922092-124-C-Weekday-53,2921017
9922093-124-C-Weekday-53,2921005
9922094-124-C-Weekday-53,2921001
9922095-124-C-Weekday-53,2921013
9922096-124-C-Weekday-53,2921057
9922097-124-C-Weekday-53,2921051
9922098-124-C-Weekday-53,2921043
9922099-124-C-Weekday-53,2921035
9922100-124-C-Weekday-53,2921061
9922101-124-C-Weekday-53,2921053
9922102-124-C-Weekday-53,2921045
9922103-124-C-Weekday-53,2921037
9922104-124-C-Weekday-53,2921079
9922105-124-C-Weekday-53,2921049
9922106-124-C-Weekday-53,2921041
9922107-124-C-Weekday-53,2921075
9922108-124-C-Weekday-53,2921063
9922109-124-C-Weekday-53,2921071
9922110-124-C-Weekday-53,2921073
9922111-124-C-Weekday-53,2921003
9922112-124-C-Weekday-53,2921033
9922113-124-C-Weekday-53,2921023
9922114-124-C-Weekday-53,2921009
9922115-124-C-Weekday-53,2921031
9922116-124-C-Weekday-53,2921081
9922117-124-C-Weekday-53,2921027
9922118-124-C-Weekday-53,2921067
9922119-124-C-Weekday-53,2921069
9922120-124-C-Weekday-53,2941008
9922121-124-C-Weekday-53,2941006
9922122-124-C-Weekday-53,2941002
9922123-124-C-Weekday-53,2941004
9922124-124-C-Weekday-53,2941010
9922125-124-C-Weekday-53,2941019
9922126-124-C-Weekday-53,2941013
9922127-124-C-Weekday-53,2941017
9922128-124-C-Weekday-53,2941011
9922129-124-C-Weekday-53,2941015
9922130-124-C-Weekday-53,2941021
9922131-124-C-Weekday-53,2941023
9922132-124-C-Weekday-53,1101001
9922133-124-C-Weekday-53,1101032
9922134-124-C-Weekday-53,2751014
9922135-124-C-Weekday-53,2751010
9922136-124-C-Weekday-53,2751006
9922137-124-C-Weekday-53,2751018
9922138-124-C-Weekday-53,2751022
9922139-124-C-Weekday-53,2751026
9922140-124-C-Weekday-53,2751030
9922141-124-C-Weekday-53,2751034
9922142-124-C-Weekday-53,2751040
9922143-124-C-Weekday-53,2751046
9922144-124-C-Weekday-53,2751050
9922145-124-C-Weekday-53,2751054
9922146-124-C-Weekday-53,2751058
9922147-124-C-Weekday-53,2751002
9922148-124-C-Weekday-53,2751004
9922149-124-C-Weekday-53,2751016
9922150-124-C-Weekday-53,2751020
9922151-124-C-Weekday-53,2751024
9922152-124-C-Weekday-53,2751028
9922153-124-C-Weekday-53,2751032
9922154-124-C-Weekday-53,2751044
9922155-124-C-Weekday-53,2751048
9922156-124-C-Weekday-53,2751052
9922157-124-C-Weekday-53,2751056
9922158-124-C-Weekday-53,2751008
9922159-124-C-Weekday-53,2751051
9922160-124-C-Weekday-53,2751049
9922161-124-C-Weekday-53,2751047
9922162-124-C-Weekday-53,2751045
9922163-124-C-Weekday-53,2751043
9922164-124-C-Weekday-53,2751041
9922165-124-C-Weekday-53,2751039
9922166-124-C-Weekday-53,2751037
9922167-124-C-Weekday-53,2751035
9922168-124-C-Weekday-53,2751033
9922169-124-C-Weekday-53,2751031
9922170-124-C-Weekday-53,2751029
9922171-124-C-Weekday-53,2751027
9922172-124-C-Weekday-53,2751025
9922173-124-C-Weekday-53,2751023
9922174-124-C-Weekday-53,2751021
9922175-124-C-Weekday-53,2751019
9922176-124-C-Weekday-53,2751017
9922177-124-C-Weekday-53,2751015
9922178-124-C-Weekday-53,2751013
9922179-124-C-Weekday-53,2751011
9922180-124-C-Weekday-53,2751009
9922181-124-C-Weekday-53,2751007
9922182-124-C-Weekday-53,2751005
9922183-124-C-Weekday-53,2751001
9922184-124-C-Weekday-53,2751053
9922185-124-C-Weekday-53,2041004
9922186-124-C-Weekday-53,2041002
9922187-124-C-Weekday-53,2751003
9922188-124-C-Weekday-53,3981027
9922189-124-C-Weekday-53,2861002
9922190-124-C-Weekday-53,2861004
9922191-124-C-Weekday-53,2861005
9922192-124-C-Weekday-53,2861003
9922193-124-C-Weekday-53,2861006
9922194-124-C-Weekday-53,2861007
9922195-124-C-Weekday-53,2861009
9922196-124-C-Weekday-53,2861008
9922197-124-C-Weekday-53,2761002
9922198-124-C-Weekday-53,2701002
9922199-124-C-Weekday-53,2761004
9922200-124-C-Weekday-53,2701004
9922201-124-C-Weekday-53,2761006
9922202-124-C-Weekday-53,2701006
9922203-124-C-Weekday-53,2761008
9922204-124-C-Weekday-53,2701008
9922205-124-C-Weekday-53,2761010
9922206-124-C-Weekday-53,2701010
9922207-124-C-Weekday-53,2761012
9922208-124-C-Weekday-53,2701012
9922209-124-C-Weekday-53,2761014
9922210-124-C-Weekday-53,2701014
9922211-124-C-Weekday-53,2761016
9922212-124-C-Weekday-53,2701016
9922213-124-C-Weekday-53,2761018
9922214-124-C-Weekday-53,2701018
9922215-124-C-Weekday-53,2761020
9922216-124-C-Weekday-53,2701020
9922217-124-C-Weekday-53,2761022
9922218-124-C-Weekday-53,2701022
9922219-124-C-Weekday-53,2761024
9922220-124-C-Weekday-53,2701024
9922221-124-C-Weekday-53,2761026
9922222-124-C-Weekday-53,2701026
9922223-124-C-Weekday-53,2761001
9922224-124-C-Weekday-53,2701001
9922225-124-C-Weekday-53,2761003
9922226-124-C-Weekday-53,2701003
9922227-124-C-Weekday-53,2761005
9922228-124-C-Weekday-53,2701005
9922229-124-C-Weekday-53,2761007
9922230-124-C-Weekday-53,2701007
9922231-124-C-Weekday-53,2761009
9922232-124-C-Weekday-53,2701009
9922233-124-C-Weekday-53,2761011
9922234-124-C-Weekday-53,2701011
9922235-124-C-Weekday-53,2761013
9922236-124-C-Weekday-53,2701013
9922237-124-C-Weekday-53,2761015
9922238-124-C-Weekday-53,2701015
9922239-124-C-Weekday-53,2761017
9922240-124-C-Weekday-53,2701017
9922241-124-C-Weekday-53,2761019
9922242-124-C-Weekday-53,2701019
9922243-124-C-Weekday-53,2761021
9922244-124-C-Weekday-53,2701021
9922245-124-C-Weekday-53,2761023
9922246-124-C-Weekday-53,2701023
9922247-124-C-Weekday-53,2761025
9922248-124-C-Weekday-53,2701025
9922249-124-C-Weekday-53,2731004
9922250-124-C-Weekday-53,2731001
9922251-124-C-Weekday-53,2731003
9922252-124-C-Weekday-53,2731002
9922253-124-C-Weekday-53,2041005
9922254-124-C-Weekday-53,2041007
9922255-124-C-Weekday-53,2041001
9922256-124-C-Weekday-53,2041003
9922257-124-C-Weekday-53,2741058
9922258-124-C-Weekday-53,2741063
9922259-124-C-Weekday-53,2751038
9922260-124-C-Weekday-53,2041006
9922261-124-C-Weekday-53,2041008
9922262-124-C-Weekday-53,2971007
9922263-124-C-Weekday-53,2971001
9922264-124-C-Weekday-53,2971003
9922283-124-C-Weekday-53,4001005
9922284-124-C-Weekday-53,4001007
9922285-124-C-Weekday-53,4001135
9922286-124-C-Weekday-53,4001137
9922287-124-C-Weekday-53,4001139
9922288-124-C-Weekday-53,4001141
9922289-124-C-Weekday-53,4001143
9922290-124-C-Weekday-53,4001001
9922291-124-C-Weekday-53,4001002
9922292-124-C-Weekday-53,4001004
9922293-124-C-Weekday-53,4001006
9922294-124-C-Weekday-53,4001010
9922295-124-C-Weekday-53,4001012
9922296-124-C-Weekday-53,4001138
9922297-124-C-Weekday-53,4001140
9922298-124-C-Weekday-53,4001142
9922299-124-C-Weekday-53,4001144
9922300-124-C-Weekday-53,4001146
9922301-124-C-Weekday-53,3991003
9922302-124-C-Weekday-53,3991005
9922303-124-C-Weekday-53,3991002
9922304-124-C-Weekday-53,3991009
9922305-124-C-Weekday-53,3991007
9922306-124-C-Weekday-53,3991001
9922307-124-C-Weekday-53,3991004
9922308-124-C-Weekday-53,3991006
9922309-124-C-Weekday-53,3991011
9922310-124-C-Weekday-53-SDon-1101100,671016
9922311-124-C-Weekday-53-SDon-0010000,2751036
9922312-124-C-Weekday-53-SDon-1101100,2751042
9922313-124-C-Weekday-53-SDon,1101003
9922314-124-C-Weekday-53-SDon-1101100,531012
9922315-124-C-Weekday-53-SDon,1121022
9922316-124-C-Weekday-53-SDon,191002
9922317-124-C-Weekday-53-SDon,1121005
9922318-124-C-Weekday-53-SDon-0010000,1101022
9922319-124-C-Weekday-53-SDon-1101100,1101030
9922320-124-C-Weekday-53-SDon,241001
9922321-124-C-Weekday-53-SDon-0010000,191001
9922322-124-C-Weekday-53-SDon-1101100,191003
9922323-124-C-Weekday-53-SDon,871002
9922324-124-C-Weekday-53-SDon,141002
9922325-124-C-Weekday-53-SDon,141004
9922326-124-C-Weekday-53-SDon,141006
9922327-124-C-Weekday-53-SDon,141012
9922328-124-C-Weekday-53-SDon-1100100,821004
9922329-124-C-Weekday-53-SDon,161001
9922330-124-C-Weekday-53-SDon,161003
9922331-124-C-Weekday-53-SDon-0010000,291001
9922332-124-C-Weekday-53-SDon-1101100,291003
9922333-124-C-Weekday-53-SDon,1101005
9922334-124-C-Weekday-53-SDon,291002
9922335-124-C-Weekday-53-SDon,161002
9922336-124-C-Weekday-53-SDon,161004
9922337-124-C-Weekday-53-SDon,141008
9922338-124-C-Weekday-53-SDon,1101034
9922339-124-C-Weekday-53-SDon,1101036
9922340-124-C-Weekday-53-SDon,241002
9923334-124-C-Saturday-52,1126001
9923335-124-C-Saturday-52,1126003
9923336-124-C-Saturday-52,1126005
9923337-124-C-Saturday-52,1126007
9923338-124-C-Saturday-52,1126009
9923339-124-C-Saturday-52,1126011
9923340-124-C-Saturday-52,1126013
9923341-124-C-Saturday-52,1126015
9923342-124-C-Saturday-52,1126017
9923343-124-C-Saturday-52,1126019
9923344-124-C-Saturday-52,1106021
9923345-124-C-Saturday-52,1106023
9923346-124-C-Saturday-52,1106005
9923347-124-C-Saturday-52,1106017
9923348-124-C-Saturday-52,1106019
9923349-124-C-Saturday-52,1106025
9923350-124-C-Saturday-52,1106029
9923351-124-C-Saturday-52,1106013
9923352-124-C-Saturday-52,1106009
9923353-124-C-Saturday-52,1106015
9923354-124-C-Saturday-52,1106007
9923355-124-C-Saturday-52,1106003
9923356-124-C-Saturday-52,1106027
9923357-124-C-Saturday-52,1106011
9923358-124-C-Saturday-52,1106001
9923359-124-C-Saturday-52,1106030
9923360-124-C-Saturday-52,1106028
9923361-124-C-Saturday-52,1106026
9923362-124-C-Saturday-52,1106024
9923363-124-C-Saturday-52,1106022
9923364-124-C-Saturday-52,1106020
9923365-124-C-Saturday-52,1106018
9923366-124-C-Saturday-52,1106016
9923367-124-C-Saturday-52,1106014
9923368-124-C-Saturday-52,1106012
9923369-124-C-Saturday-52,1106010
9923370-124-C-Saturday-52,1106008
9923371-124-C-Saturday-52,1106006
9923372-124-C-Saturday-52,1106004
9923373-124-C-Saturday-52,1106002
9923374-124-C-Saturday-52,1126002
9923375-124-C-Saturday-52,1126004
9923376-124-C-Saturday-52,1126006
9923377-124-C-Saturday-52,1126008
9923378-124-C-Saturday-52,1126010
9923379-124-C-Saturday-52,1126012
9923380-124-C-Saturday-52,1126014
9923381-124-C-Saturday-52,1126016
9923382-124-C-Saturday-52,1126018
9923383-124-C-Saturday-52,1126020
9923384-124-C-Saturday-52,2976019
9923385-124-C-Saturday-52,2976017
9923386-124-C-Saturday-52,3986002
9923387-124-C-Saturday-52,3986008
9923388-124-C-Saturday-52,3986014
9923389-124-C-Saturday-52,3986020
9923390-124-C-Saturday-52,3986026
9923391-124-C-Saturday-52,3986016
9923392-124-C-Saturday-52,3986010
9923393-124-C-Saturday-52,3986018
9923394-124-C-Saturday-52,3986024
9923395-124-C-Saturday-52,3986006
9923396-124-C-Saturday-52,3986012
9923397-124-C-Saturday-52,3986030
9923398-124-C-Saturday-52,3986004
9923399-124-C-Saturday-52,3986022
9923400-124-C-Saturday-52,3986028
9923401-124-C-Saturday-52,3986032
9923402-124-C-Saturday-52,2976020
9923403-124-C-Saturday-52,2976018
9923404-124-C-Saturday-52,2976016
9923405-124-C-Saturday-52,3976002
9923406-124-C-Saturday-52,3976004
9923407-124-C-Saturday-52,3976006
9923408-124-C-Saturday-52,2976022
9923409-124-C-Saturday-52,2976002
9923410-124-C-Saturday-52,2976004
9923411-124-C-Saturday-52,2976006
9923412-124-C-Saturday-52,2976008
9923413-124-C-Saturday-52,2972010
9923414-124-C-Saturday-52,2976012
9923415-124-C-Saturday-52,2976014
9923416-124-C-Saturday-52,3976001
9923417-124-C-Saturday-52,3976003
9923418-124-C-Saturday-52,3976005
9923419-124-C-Saturday-52,3976007
9923420-124-C-Saturday-52,3986003
9923421-124-C-Saturday-52,3986009
9923422-124-C-Saturday-52,3986015
9923423-124-C-Saturday-52,3986021
9923424-124-C-Saturday-52,3986027
9923425-124-C-Saturday-52,3986017
9923426-124-C-Saturday-52,3986011
9923427-124-C-Saturday-52,3986013
9923428-124-C-Saturday-52,3986019
9923429-124-C-Saturday-52,3986007
9923430-124-C-Saturday-52,3986025
9923431-124-C-Saturday-52,3986031
9923432-124-C-Saturday-52,3986005
9923433-124-C-Saturday-52,3986023
9923434-124-C-Saturday-52,3986029
9923435-124-C-Saturday-52,3986033
9923436-124-C-Saturday-52,2946007
9923437-124-C-Saturday-52,2946001
9923438-124-C-Saturday-52,2946011
9923439-124-C-Saturday-52,2946015
9923440-124-C-Saturday-52,2946019
