route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
141-155,124-D-Weekday-56,9692160-124-D-Weekday-56,"San Bruno BART",1411044,0,,1410158
141-155,124-D-Weekday-56,9692161-124-D-Weekday-56,"Shelter Creek",1411045,1,,1410173
141-155,124-D-Weekday-56,9692162-124-D-Weekday-56,"San Bruno BART",1411046,0,,1410158
141-155,124-D-Weekday-56,9692163-124-D-Weekday-56,"Shelter Creek",1411047,1,,1410173
141-155,124-D-Weekday-56,9692164-124-D-Weekday-56,"San Bruno BART",1411048,0,,1410158
141-155,124-D-Weekday-56,9692165-124-D-Weekday-56,"Shelter Creek",1411049,1,,1410173
122-155,124-D-Weekday-56,9692166-124-D-Weekday-56,"Stonestown/SF State",1221006,0,,1220475
122-155,124-D-Weekday-56,9692167-124-D-Weekday-56,"South SF BART",1221009,1,,1220476
141-155,124-D-Weekday-56,9692168-124-D-Weekday-56,"Shelter Creek",1411017,1,,1410173
141-155,124-D-Weekday-56,9692169-124-D-Weekday-56,"Shelter Creek",1411021,1,,1410192
141-155,124-D-Weekday-56,9692170-124-D-Weekday-56,"San Bruno BART",1411016,0,,1410191
141-155,124-D-Weekday-56,9692171-124-D-Weekday-56,"Shelter Creek",1411025,1,,1410173
120-155,124-D-Weekday-56,9692172-124-D-Weekday-56,"Colma BART",1201005,1,,1200214
120-155,124-D-Weekday-56,9692173-124-D-Weekday-56,"Brunswick/Templeton",1201014,0,,1200213
120-155,124-D-Weekday-56,9692174-124-D-Weekday-56,"Colma BART",1201019,1,,1200214
130-155,124-D-Weekday-56,9692175-124-D-Weekday-56,"Daly City BART",1301030,0,,1300241
281-155,124-D-Weekday-56,9692176-124-D-Weekday-56,"Onetta Harris Center",2811014,0,,2810151
281-155,124-D-Weekday-56,9692177-124-D-Weekday-56,"Stanford Mall",2811015,1,,2810155
281-155,124-D-Weekday-56,9692178-124-D-Weekday-56,"Onetta Harris Center",2811026,0,,2810151
281-155,124-D-Weekday-56,9692179-124-D-Weekday-56,"Stanford Mall",2811027,1,,2810156
281-155,124-D-Weekday-56,9692180-124-D-Weekday-56,"Onetta Harris Center",2811038,0,,2810151
281-155,124-D-Weekday-56,9692181-124-D-Weekday-56,"Stanford Mall",2811039,1,,2810157
281-155,124-D-Weekday-56,9692182-124-D-Weekday-56,"Onetta Harris Center",2811050,0,,2810151
281-155,124-D-Weekday-56,9692183-124-D-Weekday-56,"Stanford Mall",2811051,1,,2810158
281-155,124-D-Weekday-56,9692184-124-D-Weekday-56,"Onetta Harris Center",2811062,0,,2810151
281-155,124-D-Weekday-56,9692185-124-D-Weekday-56,"Stanford Mall",2811063,1,,2810159
281-155,124-D-Weekday-56,9692186-124-D-Weekday-56,"Onetta Harris Center",2811074,0,,2810151
281-155,124-D-Weekday-56,9692187-124-D-Weekday-56,"Stanford Mall",2811077,1,,2810160
281-155,124-D-Weekday-56,9692188-124-D-Weekday-56,"Onetta Harris Center",2811088,0,,2810151
281-155,124-D-Weekday-56,9692189-124-D-Weekday-56,"Stanford Mall",2811091,1,,2810161
281-155,124-D-Weekday-56,9692190-124-D-Weekday-56,"Onetta Harris Center",2811098,0,,2810151
281-155,124-D-Weekday-56,9692191-124-D-Weekday-56,"Stanford Mall",2811097,1,,2810162
281-155,124-D-Weekday-56,9692192-124-D-Weekday-56,"Onetta Harris Center",2811104,0,,2810151
281-155,124-D-Weekday-56,9692193-124-D-Weekday-56,"Stanford Mall",2811103,1,,2810163
281-155,124-D-Weekday-56,9692194-124-D-Weekday-56,"Onetta Harris Center",2811110,0,,2810151
122-155,124-D-Weekday-56,9692195-124-D-Weekday-56,"South SF BART",1221001,1,,1220476
122-155,124-D-Weekday-56,9692196-124-D-Weekday-56,"Stonestown/SF State",1221014,0,,1220475
122-155,124-D-Weekday-56,9692197-124-D-Weekday-56,"South SF BART",1221015,1,,1220476
122-155,124-D-Weekday-56,9692198-124-D-Weekday-56,"Stonestown/SF State",1221026,0,,1220475
122-155,124-D-Weekday-56,9692199-124-D-Weekday-56,"South SF BART",1221027,1,,1220476
122-155,124-D-Weekday-56,9692200-124-D-Weekday-56,"Stonestown/SF State",1221038,0,,1220475
122-155,124-D-Weekday-56,9692201-124-D-Weekday-56,"South SF BART",1221039,1,,1220476
122-155,124-D-Weekday-56,9692202-124-D-Weekday-56,"Stonestown/SF State",1221052,0,,1220475
122-155,124-D-Weekday-56,9692203-124-D-Weekday-56,"South SF BART",1221055,1,,1220476
295-155,124-D-Weekday-56,9692204-124-D-Weekday-56,"San Carlos Caltrain",2951001,1,,2950348
141-155,124-D-Weekday-56,9692205-124-D-Weekday-56,"Shelter Creek",1411029,1,,1410192
141-155,124-D-Weekday-56,9692206-124-D-Weekday-56,"San Bruno BART",1411024,0,,1410191
141-155,124-D-Weekday-56,9692207-124-D-Weekday-56,"San Bruno BART",1411030,0,,1410158
141-155,124-D-Weekday-56,9692208-124-D-Weekday-56,"Shelter Creek",1411037,1,,1410192
141-155,124-D-Weekday-56,9692209-124-D-Weekday-56,"San Bruno BART",1411036,0,,1410158
121-155,124-D-Weekday-56,9692210-124-D-Weekday-56,"Pope/Bellevue",1211044,0,,1210280
122-155,124-D-Weekday-56,9692211-124-D-Weekday-56,"South SF BART",1221051,1,,1220476
281-155,124-D-Weekday-56,9692212-124-D-Weekday-56,"Stanford Mall",2811001,1,,2810164
281-155,124-D-Weekday-56,9692213-124-D-Weekday-56,"Onetta Harris Center",2811006,0,,2810151
281-155,124-D-Weekday-56,9692214-124-D-Weekday-56,"Stanford Mall",2811007,1,,2810165
281-155,124-D-Weekday-56,9692215-124-D-Weekday-56,"Onetta Harris Center",2811018,0,,2810151
281-155,124-D-Weekday-56,9692216-124-D-Weekday-56,"Stanford Mall",2811019,1,,2810166
281-155,124-D-Weekday-56,9692217-124-D-Weekday-56,"Onetta Harris Center",2811030,0,,2810151
281-155,124-D-Weekday-56,9692218-124-D-Weekday-56,"Stanford Mall",2811031,1,,2810167
281-155,124-D-Weekday-56,9692219-124-D-Weekday-56,"Onetta Harris Center",2811042,0,,2810151
281-155,124-D-Weekday-56,9692220-124-D-Weekday-56,"Stanford Mall",2811043,1,,2810168
281-155,124-D-Weekday-56,9692221-124-D-Weekday-56,"Onetta Harris Center",2811054,0,,2810151
281-155,124-D-Weekday-56,9692222-124-D-Weekday-56,"Stanford Mall",2811055,1,,2810169
281-155,124-D-Weekday-56,9692223-124-D-Weekday-56,"Onetta Harris Center",2811066,0,,2810151
281-155,124-D-Weekday-56,9692224-124-D-Weekday-56,"Stanford Mall",2811067,1,,2810170
281-155,124-D-Weekday-56,9692225-124-D-Weekday-56,"Onetta Harris Center",2811078,0,,2810151
281-155,124-D-Weekday-56,9692226-124-D-Weekday-56,"Stanford Mall",2811081,1,,2810171
281-155,124-D-Weekday-56,9692227-124-D-Weekday-56,"Onetta Harris Center",2811092,0,,2810151
281-155,124-D-Weekday-56,9692228-124-D-Weekday-56,"Stanford Mall",2811093,1,,2810172
281-155,124-D-Weekday-56,9692229-124-D-Weekday-56,"Onetta Harris Center",2811100,0,,2810151
281-155,124-D-Weekday-56,9692230-124-D-Weekday-56,"Stanford Mall",2811099,1,,2810173
281-155,124-D-Weekday-56,9692231-124-D-Weekday-56,"Onetta Harris Center",2811106,0,,2810151
281-155,124-D-Weekday-56,9692232-124-D-Weekday-56,"Stanford Mall",2811105,1,,2810174
281-155,124-D-Weekday-56,9692233-124-D-Weekday-56,"Onetta Harris Center",2811112,0,,2810151
122-155,124-D-Weekday-56,9692234-124-D-Weekday-56,"Stonestown/SF State",1221056,0,,1220475
122-155,124-D-Weekday-56,9692235-124-D-Weekday-56,"South SF BART",1221059,1,,1220476
281-155,124-D-Weekday-56,9692236-124-D-Weekday-56,"Onetta Harris Center",2811004,0,,2810151
281-155,124-D-Weekday-56,9692237-124-D-Weekday-56,"Stanford Mall",2811005,1,,2810175
281-155,124-D-Weekday-56,9692238-124-D-Weekday-56,"Onetta Harris Center",2811016,0,,2810151
281-155,124-D-Weekday-56,9692239-124-D-Weekday-56,"Stanford Mall",2811017,1,,2810176
281-155,124-D-Weekday-56,9692240-124-D-Weekday-56,"Onetta Harris Center",2811028,0,,2810151
281-155,124-D-Weekday-56,9692241-124-D-Weekday-56,"Stanford Mall",2811029,1,,2810177
281-155,124-D-Weekday-56,9692242-124-D-Weekday-56,"Onetta Harris Center",2811040,0,,2810151
281-155,124-D-Weekday-56,9692243-124-D-Weekday-56,"Stanford Mall",2811041,1,,2810178
281-155,124-D-Weekday-56,9692244-124-D-Weekday-56,"Onetta Harris Center",2811052,0,,2810151
281-155,124-D-Weekday-56,9692245-124-D-Weekday-56,"Stanford Mall",2811053,1,,2810179
281-155,124-D-Weekday-56,9692246-124-D-Weekday-56,"Onetta Harris Center",2811064,0,,2810151
281-155,124-D-Weekday-56,9692247-124-D-Weekday-56,"Stanford Mall",2811065,1,,2810180
281-155,124-D-Weekday-56,9692248-124-D-Weekday-56,"Onetta Harris Center",2811076,0,,2810151
281-155,124-D-Weekday-56,9692249-124-D-Weekday-56,"Stanford Mall",2811079,1,,2810181
281-155,124-D-Weekday-56,9692250-124-D-Weekday-56,"Onetta Harris Center",2811090,0,,2810151
295-155,124-D-Weekday-56,9692251-124-D-Weekday-56,"San Carlos Caltrain",2951015,1,,2950350
295-155,124-D-Weekday-56,9692252-124-D-Weekday-56,"San Mateo Caltrain",2951018,0,,2950347
295-155,124-D-Weekday-56,9692253-124-D-Weekday-56,"San Carlos Caltrain",2951019,1,,2950072
38-155,124-D-Weekday-56,9692254-124-D-Weekday-56,"Safe Harbor",381011,0,,380063
120-155,124-D-Weekday-56,9692255-124-D-Weekday-56,"Brunswick/Templeton",1201006,0,,1200213
120-155,124-D-Weekday-56,9692256-124-D-Weekday-56,"Colma BART",1201009,1,,1200214
120-155,124-D-Weekday-56,9692257-124-D-Weekday-56,"Brunswick/Templeton",1201024,0,,1200213
120-155,124-D-Weekday-56,9692258-124-D-Weekday-56,"Colma BART",1201029,1,,1200214
130-155,124-D-Weekday-56,9692259-124-D-Weekday-56,"Daly City BART",1301038,0,,1300241
130-155,124-D-Weekday-56,9692260-124-D-Weekday-56,"Colma BART",1301033,1,,1300240
130-155,124-D-Weekday-56,9692261-124-D-Weekday-56,"Daly City BART",1301048,0,,1300241
130-155,124-D-Weekday-56,9692262-124-D-Weekday-56,"Colma BART",1301043,1,,1300240
130-155,124-D-Weekday-56,9692263-124-D-Weekday-56,"Daly City BART",1301058,0,,1300241
130-155,124-D-Weekday-56,9692264-124-D-Weekday-56,"Colma BART",1301053,1,,1300240
120-155,124-D-Weekday-56,9692265-124-D-Weekday-56,"Brunswick/Templeton",1201070,0,,1200213
120-155,124-D-Weekday-56,9692266-124-D-Weekday-56,"Colma BART",1201075,1,,1200214
120-155,124-D-Weekday-56,9692267-124-D-Weekday-56,"Brunswick/Templeton",1201088,0,,1200213
121-155,124-D-Weekday-56,9692268-124-D-Weekday-56,"Skyline College",1211045,1,,1210279
121-155,124-D-Weekday-56,9692269-124-D-Weekday-56,"Pope/Bellevue",1211052,0,,1210280
121-155,124-D-Weekday-56,9692270-124-D-Weekday-56,"Skyline College",1211055,1,,1210279
120-155,124-D-Weekday-56,9692271-124-D-Weekday-56,"Colma BART",1201133,1,,1200214
130-155,124-D-Weekday-56,9692272-124-D-Weekday-56,"Daly City BART",1301124,0,,1300241
130-155,124-D-Weekday-56,9692273-124-D-Weekday-56,"Colma BART",1301117,1,,1300240
130-155,124-D-Weekday-56,9692274-124-D-Weekday-56,"Colma BART",1301121,1,,1300240
295-155,124-D-Weekday-56-SDon,9692275-124-D-Weekday-56-SDon,"",2951006,0,,2950337
130-155,124-D-Weekday-56,9692276-124-D-Weekday-56,"Daly City BART",1301008,0,,1300241
130-155,124-D-Weekday-56,9692277-124-D-Weekday-56,"Colma BART",1301005,1,,1300240
130-155,124-D-Weekday-56,9692278-124-D-Weekday-56,"Daly City BART",1301018,0,,1300241
130-155,124-D-Weekday-56,9692279-124-D-Weekday-56,"Colma BART",1301015,1,,1300240
120-155,124-D-Weekday-56,9692280-124-D-Weekday-56,"Brunswick/Templeton",1201032,0,,1200213
120-155,124-D-Weekday-56,9692281-124-D-Weekday-56,"Colma BART",1201035,1,,1200214
120-155,124-D-Weekday-56,9692282-124-D-Weekday-56,"Brunswick/Templeton",1201046,0,,1200213
120-155,124-D-Weekday-56,9692283-124-D-Weekday-56,"Colma BART",1201049,1,,1200214
120-155,124-D-Weekday-56,9692284-124-D-Weekday-56,"Brunswick/Templeton",1201060,0,,1200213
120-155,124-D-Weekday-56,9692285-124-D-Weekday-56,"Colma BART",1201065,1,,1200214
120-155,124-D-Weekday-56,9692286-124-D-Weekday-56,"Brunswick/Templeton",1201078,0,,1200213
120-155,124-D-Weekday-56,9692287-124-D-Weekday-56,"Colma BART",1201085,1,,1200214
130-155,124-D-Weekday-56,9692288-124-D-Weekday-56,"Daly City BART",1301094,0,,1300241
130-155,124-D-Weekday-56,9692289-124-D-Weekday-56,"Colma BART",1301087,1,,1300240
130-155,124-D-Weekday-56,9692290-124-D-Weekday-56,"Daly City BART",1301104,0,,1300241
130-155,124-D-Weekday-56,9692291-124-D-Weekday-56,"Colma BART",1301097,1,,1300240
120-155,124-D-Weekday-56,9692292-124-D-Weekday-56,"Brunswick/Templeton",1201122,0,,1200213
