stop_id,accessibility_id,cardinal_direction,relative_position,stop_city
332206,2,SW,FS,Broadmoor
332207,2,WE,OP,Broadmoor
332208,2,NW,FS,Broadmoor
332209,2,WE,AT,Daly City
332214,2,NE,FS,Daly City
332215,2,NW,NS,Daly City
332216,2,NE,FS,Daly City
332218,2,SE,FS,Daly City
332220,2,NE,FS,Daly City
332221,2,NE,FS,Daly City
332225,2,NW,NS,Daly City
332227,2,NW,NS,Daly City
332230,2,SE,NS,Daly City
332232,2,NW,NS,Daly City
332233,2,SE,NS,Daly City
332235,2,NE,NS,Daly City
332238,2,NW,NS,Daly City
332240,2,NE,NS,Daly City
332241,2,EA,OP,Daly City
332242,2,SE,NS,Daly City
332243,2,NE,NS,Daly City
332244,2,SW,FS,Daly City
332245,2,SW,FS,Daly City
332246,2,SW,NS,Daly City
332247,2,SW,FS,Daly City
332252,2,SE,NS,Daly City
332255,2,SW,NS,Daly City
332263,2,NE,NS,Daly City
332264,2,SE,FS,Daly City
332266,2,SW,OP,Daly City
332267,2,NW,FS,Daly City
332269,2,SE,FS,Daly City
332270,2,NE,NS,Daly City
332287,2,EA,AT,Daly City
332289,2,SE,FS,Daly City
332290,2,NW,FS,Daly City
332291,2,SE,NS,Daly City
332292,2,SW,FS,Daly City
332293,2,SW,FS,Daly City
332294,2,EA,OP,Daly City
332295,2,EA,AT,Daly City
332296,2,SW,FS,Daly City
332297,2,EA,OP,Daly City
332298,2,EA,OP,Daly City
332299,2,SW,FS,Daly City
332300,2,SW,FS,Daly City
332301,2,EA,OP,Daly City
332302,2,SW,FS,Daly City
332303,2,SW,FS,Daly City
332304,2,NE,FS,Daly City
332308,2,SW,NS,Daly City
332309,2,WE,OP,Daly City
332310,2,NW,FS,Daly City
332311,2,NW,FS,Daly City
332312,2,SE,FS,Daly City
332313,2,SW,FS,Daly City
332314,2,SE,NS,Daly City
332315,2,SW,FS,Daly City
332316,2,WE,OP,Daly City
332317,2,SW,FS,Daly City
332318,2,SW,FS,Daly City
332319,2,SW,FS,Daly City
332320,2,SE,NS,Daly City
332321,2,SW,FS,Daly City
332322,2,NO,OP,Daly City
332323,2,SO,OP,Daly City
332324,2,NW,FS,Daly City
332325,2,NE,FS,Daly City
332326,2,EA,OP,Daly City
332327,2,SO,OP,Daly City
332328,2,NW,FS,Daly City
332329,2,SO,OP,Daly City
332330,2,NE,FS,Daly City
332331,2,EA,OP,Daly City
332335,2,WE,OP,Daly City
332336,2,SW,FS,Daly City
332337,2,SW,FS,Daly City
332338,2,SE,FS,Broadmoor
332339,2,SW,FS,Daly City
332340,2,EA,OP,Daly City
332341,2,NE,FS,Daly City
332342,2,SE,NS,Daly City
332343,2,EA,OP,Daly City
332344,2,SW,FS,Daly City
332345,2,SE,NS,Daly City
332346,2,NW,NS,Daly City
332347,2,NE,FS,Daly City
332348,2,SW,FS,Daly City
332349,2,NW,NS,Daly City
332354,2,NO,OP,Daly City
332355,2,SE,FS,Daly City
332358,2,SE,NS,Broadmoor
332359,2,NE,FS,Broadmoor
332360,2,SE,FS,Daly City
332361,2,NE,NS,Daly City
332362,2,SE,FS,Broadmoor
332363,2,SW,FS,Broadmoor
332364,2,SW,FS,Broadmoor
332366,2,SW,NS,Daly City
332368,2,NW,FS,Broadmoor
332373,2,SE,NS,Daly City
332374,2,SW,NS,Daly City
332406,2,SW,FS,Daly City
332502,2,NE,FS,Daly City
332503,2,NE,FS,Brisbane
332506,2,SW,NS,Daly City
332508,2,SW,FS,Daly City
332509,2,NW,FS,Daly City
