stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_name,location_type
38.014302,,-122.126401,831004,,Pacheco Blvd/Arreba St,0
37.884286,,-122.083774,831002,,Olympic Blvd/Bridgefield Rd,0
38.017708,,-122.13378,831003,,Court St/Ward St,0
37.87953,,-122.056495,831000,,Meadow Rd/Meadow Crest Ln,0
37.886765,,-122.034649,831001,,Mountain View Blvd/Mynah Ct,0
38.012334,,-122.116646,831008,,Pacheco Blvd/Peach St,0
38.012252,,-122.111644,831009,,Pacheco Blvd/Santa Fe Ave,0
37.984538,,-122.098826,83936,,Center Ave/Vine Hill Way,0
37.983628,,-122.090813,83937,,Center Ave/Redwood Dr,0
37.990938,,-122.110391,83930,,Center Ave/Kaiser Dr,0
37.989381,,-122.107457,83931,,Center Ave/Granite Ct,0
37.987278,,-122.105165,83932,,Center Ave/Snow Dr,0
37.983946,,-122.085883,83938,,Center Ave/Lyle Ct,0
37.983301,,-122.079249,83939,,Center Ave/Hidden Lakes Dr,0
37.948267,,-121.950473,83444,,Clayton Rd/El Camino Dr,0
37.946643,,-121.947487,83445,,Clayton Rd/Lydia Ln,0
37.945323,,-121.945373,83446,,Clayton Rd/Atchison Stage Rd,0
37.997884,,-121.88683,83440,,Buchanan Rd/Campbell Dr,0
37.998098,,-121.887381,83441,,Buchanan Rd/Harbor Dr,0
37.995641,,-121.897431,83442,,Kirker Pass Rd/Castlewood Dr,0
37.995391,,-121.897121,83443,,Kirker Pass Rd/Castlewood Dr,0
37.943886,,-121.941973,83448,,Clayton Rd/Mitchell Canyon Rd,0
37.949052,,-121.951381,83449,,Clayton Rd/El Camino Dr,0
37.960918,,-122.034272,83620,,Detroit Ave/Monument Blvd,0
37.962728,,-122.035883,83621,,Detroit Ave/Walters Way,0
37.965591,,-122.038426,83622,,Detroit Ave/Lynn Ave,0
37.96798,,-122.040945,83623,,Detroit Ave/Laguna St,0
37.982653,,-122.033848,83624,,East St/Bacon St,0
37.982519,,-122.033997,83625,,East St/Bacon St,0
37.978212,,-122.030763,83626,,East St/Willow Pass Rd,0
37.976633,,-122.029624,83627,,East St/Sunset Ave,0
37.972272,,-122.040916,83629,,Fry Way/Clayton Rd,0
37.85146,,-122.03313,83970_merged_422181198,,Danville Blvd/Alamo Plaza,0
37.953516,,-122.042846,83718,,Monument Blvd/Lacey Ln,0
37.956624,,-122.038312,83719,,Monument Blvd/Oak Grove Rd,0
37.94821,,-122.050905,83714,,Monument Blvd/Mohr Ln,0
37.947692,,-122.051168,83715,,Monument Blvd/Mohr Ln,0
37.952471,,-122.044373,83717,,Monument Blvd/Reganti Dr,0
37.956918,,-122.038473,83710,,Monument Blvd/Meadow Ln,0
37.954185,,-122.042227,83711,,Monument Blvd/Virginia Ln,0
37.953596,,-122.043053,83712,,Monument Blvd/Lacey Ln,0
37.950639,,-122.0473,83713,,Monument Blvd/Victory Ln,0
37.933884,,-122.046291,831774,,Minert Rd/Bancroft Rd,0
37.93778,,-122.038795,831775,,Minert Rd/Normandy Ln,0
