route_id,service_id,trip_headsign,trip_id,direction_id,block_id,shape_id
2,1_merged_422181218,BART Concord,42100443,1,,38310
2,3_merged_422181219,BART Concord,42100445,1,,38310
2,2_merged_422181220,BART Concord,42100444,1,,38310
9,2_merged_422181208,BART Concord,90002002,0,,
9,2_merged_422181208,BART Concord,90002005,0,,
21,5_merged_422181221,BART Concord,42161334,0,,38351
9,2_merged_422181208,BART Concord,90002008,0,,
11,2_merged_422181220,BART Walnut Creek,4212655,1,,38330
22,5_merged_422181221,BART Concord via BART Pleasant Hill,42166311,0,,38353
31,3_merged_422181207,BART Walnut Creek,311003048,1,,
6,2_merged_422181220,AMTRAK via Downtown Pleasant Hill,42114350,0,,38318
6,3_merged_422181219,AMTRAK via Downtown Pleasant Hill,42114351,0,,38318
31,3_merged_422181207,Creekside,310003072,0,,
31,3_merged_422181207,Creekside,310003078,0,,
12,3_merged_422181219,BART Concord,4212709,0,,38331
12,2_merged_422181220,BART Concord,4212708,0,,38331
28,2_merged_422181220,BART Dublin via Bollinger Canyon,4219025,0,,38366
28,1_merged_422181218,BART Dublin via Bollinger Canyon,4219024,0,,38366
12,1_merged_422181218,BART Concord,4212707,0,,38331
28,3_merged_422181219,BART Dublin via Bollinger Canyon,4219026,0,,38366
1,3_merged_422181207,Shadelands via BART Walnut Creek,11003009,1,,
30,3_merged_422181219,Broadway Plaza,4219723,0,,38371
1,3_merged_422181207,Shadelands via BART Walnut Creek,11003006,1,,
1,3_merged_422181207,Shadelands via BART Walnut Creek,11003003,1,,
13,3_merged_422181219,BART Walnut Creek,42138145,1,,38334
13,2_merged_422181220,BART Walnut Creek,42138144,1,,38334
13,1_merged_422181218,BART Walnut Creek,42138143,1,,38334
30,1_merged_422181218,BART Walnut Creek,42203765,1,,38372
30,2_merged_422181220,BART Walnut Creek,42203766,1,,38372
30,3_merged_422181219,BART Walnut Creek,42203767,1,,38372
28,1_merged_422181206,BART Dublin via Bollinger Canyon,280001061,0,,
30,1_merged_422181218,Broadway Plaza,422020201,0,,38371
30,3_merged_422181219,Broadway Plaza,422020203,0,,38371
30,2_merged_422181220,Broadway Plaza,422020202,0,,38371
2,3_merged_422181219,BART Concord,421000120,1,,38311
13,3_merged_422181207,San Ramon Transit Center,130003051,0,,
13,3_merged_422181207,San Ramon Transit Center,130003057,0,,
13,3_merged_422181207,San Ramon Transit Center,130003054,0,,
3,2_merged_422181208,BART Pleasant Hill,31002011,1,,
3,2_merged_422181208,BART Pleasant Hill,31002014,1,,
3,2_merged_422181208,BART Pleasant Hill,31002017,1,,
28,2_merged_422181220,BART Dublin via Windemere Pkwy,42190941,0,,38365
32,1_merged_422181218,BART Orinda via Saint Mary's College,4222577,1,,38376
8,1_merged_422181218,BART Pleasant Hill,42120816,0,,38323
8,2_merged_422181220,BART Pleasant Hill,42120817,0,,38323
8,3_merged_422181219,BART Pleasant Hill,42120818,0,,38323
32,3_merged_422181219,BART Orinda via Saint Mary's College,4222579,1,,38376
32,2_merged_422181220,BART Orinda via Saint Mary's College,4222578,1,,38376
2,3_merged_422181219,Clayton,42096081,0,,38308
2,2_merged_422181220,Clayton,42096080,0,,38308
13,1_merged_422181218,BART Walnut Creek,42137419,1,,38334
6,2_merged_422181220,BART Concord via Downtown Pleasant Hill,42116859,1,,38319
6,1_merged_422181218,BART Concord via Downtown Pleasant Hill,42116858,1,,38319
28,2_merged_422181220,San Ramon via Bollinger Canyon,42192620,1,,38368
7,2_merged_422181208,BART Concord via John Muir Medical Center,71002038,1,,
7,2_merged_422181208,BART Concord via John Muir Medical Center,71002035,1,,
7,2_merged_422181208,BART Concord via John Muir Medical Center,71002032,1,,
2,3_merged_422181207,BART Concord,21003060,1,,
25,4_merged_422181222,Martinez via Downtown Pleasant Hill,42177711,0,,38359
2,3_merged_422181207,BART Concord,21003063,1,,
2,3_merged_422181207,BART Concord,21003066,1,,
2,3_merged_422181207,BART Concord,21003069,1,,
39,2_merged_422181220,San Ramon Transit Center,42252580,0,,38431
39,3_merged_422181219,San Ramon Transit Center,42252581,0,,38431
2,2_merged_422181220,BART Concord,42101235,1,,38310
29,3_merged_422181207,San Ramon Transit Center via San Ramon Valley Blvd,291003012,1,,
2,3_merged_422181219,BART Concord,42101236,1,,38310
29,3_merged_422181207,San Ramon Transit Center via San Ramon Valley Blvd,291003015,1,,
29,3_merged_422181207,San Ramon Transit Center via San Ramon Valley Blvd,291003018,1,,
12,2_merged_422181208,Diablo Valley College,121002005,1,,
12,2_merged_422181208,Diablo Valley College,121002002,1,,
18,1_merged_422181218,BART North Concord,42150134,0,,38344
18,2_merged_422181220,BART North Concord,42150135,0,,38344
18,3_merged_422181219,BART North Concord,42150136,0,,38344
12,2_merged_422181208,Diablo Valley College,121002008,1,,
18,2_merged_422181220,BART North Concord via VA Clinic/Diablo Valley College,42149929,0,,38343
