"fare_id","origin_id","destination_id"
"43","89","130"
"22","89","131"
"41","89","132"
"8","89","133"
"29","89","134"
"45","89","135"
"56","89","142"
"59","89","143"
"65","89","128"
"66","89","145"
"21","90","81"
"21","90","82"
"12","90","83"
"21","90","84"
"28","90","85"
"26","90","86"
"19","90","87"
"52","90","88"
"39","90","89"
"21","90","91"
"8","90","92"
"21","90","93"
"27","90","94"
"14","90","95"
"14","90","96"
"21","90","97"
"24","90","98"
"21","90","99"
"27","90","100"
"32","90","101"
"51","90","102"
"56","90","103"
"1","90","104"
"21","90","105"
"46","90","106"
"38","90","107"
"30","90","108"
"37","90","109"
"21","90","110"
"51","90","111"
"21","90","112"
"58","90","113"
"47","90","114"
"33","90","115"
"1","90","116"
"38","90","117"
"10","90","118"
"16","90","119"
"36","90","120"
"34","90","121"
"20","90","122"
"37","90","123"
"34","90","124"
"21","90","125"
"40","90","126"
"42","90","127"
"29","90","128"
"31","90","129"
"24","90","130"
"21","90","131"
"6","90","132"
"33","90","133"
"41","90","134"
"28","90","135"
"38","90","142"
"41","90","143"
"46","90","128"
"47","90","145"
"14","91","81"
"15","91","82"
"13","91","83"
"8","91","84"
"15","91","85"
"14","91","86"
"8","91","87"
"39","91","88"
"26","91","89"
"21","91","90"
"16","91","92"
"20","91","93"
"27","91","94"
"11","91","95"
"32","91","96"
"13","91","97"
"8","91","98"
"18","91","99"
"23","91","100"
"27","91","101"
"50","91","102"
"45","91","103"
"23","91","104"
"8","91","105"
"35","91","106"
"25","91","107"
"25","91","108"
"23","91","109"
"1","91","110"
"47","91","111"
"15","91","112"
"45","91","113"
"45","91","114"
"33","91","115"
"21","91","116"
"27","91","117"
"28","91","118"
"34","91","119"
"34","91","120"
"29","91","121"
"40","91","122"
"34","91","123"
"30","91","124"
"17","91","125"
"28","91","126"
"29","91","127"
"17","91","128"
"21","91","129"
"20","91","130"
"1","91","131"
"24","91","132"
"18","91","133"
"40","91","134"
"24","91","135"
"36","91","142"
"37","91","143"
"41","91","128"
"43","91","145"
"18","92","81"
"18","92","82"
"1","92","83"
"18","92","84"
"21","92","85"
"19","92","86"
"14","92","87"
"45","92","88"
"31","92","89"
"8","92","90"
"16","92","91"
"20","92","93"
"27","92","94"
"8","92","95"
"21","92","96"
"18","92","97"
"18","92","98"
"18","92","99"
"27","92","100"
"32","92","101"
"46","92","102"
"52","92","103"
"11","92","104"
"15","92","105"
"43","92","106"
"31","92","107"
"30","92","108"
"31","92","109"
"15","92","110"
"50","92","111"
"20","92","112"
"51","92","113"
"42","92","114"
"33","92","115"
"1","92","116"
"33","92","117"
"16","92","118"
"23","92","119"
"36","92","120"
"34","92","121"
"27","92","122"
"37","92","123"
"34","92","124"
"21","92","125"
"34","92","126"
"34","92","127"
"22","92","128"
"26","92","129"
"24","92","130"
"15","92","131"
"13","92","132"
"27","92","133"
"36","92","134"
"28","92","135"
"38","92","142"
"41","92","143"
"46","92","128"
"47","92","145"
"20","93","81"
"20","93","82"
"20","93","83"
"20","93","84"
"27","93","85"
"25","93","86"
"18","93","87"
"50","93","88"
"38","93","89"
"21","93","90"
"20","93","91"
"20","93","92"
"1","93","94"
"20","93","95"
"32","93","96"
"20","93","97"
"23","93","98"
"1","93","99"
"27","93","100"
"32","93","101"
"53","93","102"
"56","93","103"
"23","93","104"
"8","93","105"
"46","93","106"
"37","93","107"
"30","93","108"
"35","93","109"
"20","93","110"
"48","93","111"
"20","93","112"
"57","93","113"
"48","93","114"
"8","93","115"
"20","93","116"
"39","93","117"
"27","93","118"
"34","93","119"
"18","93","120"
"34","93","121"
"37","93","122"
"35","93","123"
"31","93","124"
"21","93","125"
"39","93","126"
"40","93","127"
"28","93","128"
"32","93","129"
"24","93","130"
"20","93","131"
"24","93","132"
"31","93","133"
"43","93","134"
"28","93","135"
"21","93","142"
"24","93","143"
"30","93","128"
"31","93","145"
"27","94","81"
"27","94","82"
"27","94","83"
"27","94","84"
"36","94","85"
"34","94","86"
"27","94","87"
"61","94","88"
"45","94","89"
"27","94","90"
"27","94","91"
"27","94","92"
"1","94","93"
"27","94","95"
"32","94","96"
"27","94","97"
"31","94","98"
"8","94","99"
"27","94","100"
"32","94","101"
"49","94","102"
"64","94","103"
"27","94","104"
"24","94","105"
"55","94","106"
"44","94","107"
"30","94","108"
"41","94","109"
"27","94","110"
"50","94","111"
"27","94","112"
"65","94","113"
"45","94","114"
"1","94","115"
"27","94","116"
"46","94","117"
"27","94","118"
"34","94","119"
"8","94","120"
"13","94","121"
"37","94","122"
"37","94","123"
"33","94","124"
"27","94","125"
"46","94","126"
"48","94","127"
"35","94","128"
"40","94","129"
"27","94","130"
"27","94","131"
"27","94","132"
"40","94","133"
"44","94","134"
"28","94","135"
"14","94","142"
"17","94","143"
"22","94","128"
