route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
acf5616e-896a-4015-bb33-23ca4d9ff6b6,d139e461-175c-4156-beb0-e6a23b64d978,"220WB","ROUTE 220 WB","VACAVILLE/WINTERS/DAVIS - 220 WB",3,1A559D,000000
567c63da-e2a6-4195-9fbf-f30dfd9c2809,d139e461-175c-4156-beb0-e6a23b64d978,"43RAM","ROUTE 43-R AM","DAVIS EXPRESS - 43-R AM",3,0054A3,FFFFFF
5c846897-f035-40d3-aef0-011da824fe99,d139e461-175c-4156-beb0-e6a23b64d978,"220CP","ROUTE 220C PM","WINTERS COMMUTE - 220C PM",3,00ABEC,000000
3639219e-c74c-4e46-b957-4d19792f300c,d139e461-175c-4156-beb0-e6a23b64d978,"216PM","ROUTE 216 PM","KNIGHTS LANDING - 216 PM",3,1A559D,000000
016d3264-686b-4a19-9e62-7ac1a056bd38,d139e461-175c-4156-beb0-e6a23b64d978,"440","THE Y INTERCITY","The Y Intercity - Woodland/Davis/West Sacramento/Sacramento",3,FF8C00,000000
096db3f0-b912-4eeb-a2dd-a8a2f535706f,d139e461-175c-4156-beb0-e6a23b64d978,"232PM","ROUTE 232 PM","DAVIS EXPRESS - 232 PM",3,EF4034,000000
9e089252-badb-4013-9e1a-2796ec1b0248,d139e461-175c-4156-beb0-e6a23b64d978,"240","ROUTE 240","WEST SACRAMENTO SHUTTLE - 240",3,6F308E,000000
1764153e-7765-4fe1-a54a-cd831670d466,d139e461-175c-4156-beb0-e6a23b64d978,"41","ROUTE 41","WEST SACRAMENTO LOCAL - 41",3,6F308E,000000
5529346d-0139-44f0-a04d-685a0bbb9553,d139e461-175c-4156-beb0-e6a23b64d978,"44PM","ROUTE 44 PM","DAVIS EXPRESS - 44 PM",3,EF4034,000000
4c2233c7-1ee6-4f4d-be66-2cc724431006,d139e461-175c-4156-beb0-e6a23b64d978,"35","ROUTE 35","SOUTHPORT LOCAL - 35",3,EC008C,000000
0a212c62-cfb7-4fe1-9cdf-7ce06c24a8b4,d139e461-175c-4156-beb0-e6a23b64d978,"230PM","ROUTE 230 PM","DAVIS EXPRESS - 230 PM",3,0054A3,FFFFFF
801e7c46-a2b1-4707-b4b2-3fd863df0302,d139e461-175c-4156-beb0-e6a23b64d978,"39PM","ROUTE 39 PM","SOUTHPORT COMMUTE - 39 PM",3,18468F,FFFFFF
82b85ee5-b854-46c5-ba12-02c6f6727015,d139e461-175c-4156-beb0-e6a23b64d978,"242AM","ROUTE 242 AM","WOODLAND/DAVIS/SACRAMENTO - 242 AM",3,EF4135,000000
6eeede9a-29be-4f0a-962f-851879b5605e,d139e461-175c-4156-beb0-e6a23b64d978,"43RPM","ROUTE 43R PM","DAVIS EXPRESS - 43R PM",3,0054A3,FFFFFF
0a071211-7df7-494e-ae9c-e9cd61d7a2ad,d139e461-175c-4156-beb0-e6a23b64d978,"232AM","ROUTE 232 AM","DAVIS EXPRESS - 232 AM",3,EF4034,000000
ebdbf338-66be-4883-bf66-d8c0af0bf5be,d139e461-175c-4156-beb0-e6a23b64d978,"42B","ROUTE 42B","INTERCITY COUNTER-CLOCKWISE 42B",3,008751,000000
fe2d07c0-6840-4528-aae6-46d7ff353115,d139e461-175c-4156-beb0-e6a23b64d978,"215EB","ROUTE 215 EB","WOODLAND- 215 EB",3,000000,FFFFFF
06b4fba7-ecef-41e8-a8fe-dd3741a92a85,d139e461-175c-4156-beb0-e6a23b64d978,"242PM","ROUTE 242 PM","SACRAMENTO/DAVIS/WOODLAND - 242 PM",3,EF4135,000000
3126a881-a8ff-4923-9e24-9de11cc68b81,d139e461-175c-4156-beb0-e6a23b64d978,"215WB","ROUTE 215 WB","CACHE CREEK - 215 WB",3,000000,FFFFFF
9fc3e5a3-f429-4352-b1d0-541c50a33dca,d139e461-175c-4156-beb0-e6a23b64d978,"210","ROUTE 210","WEST WOODLAND LOCAL - 210",3,1B559E,000000
088fe1e6-c97a-4822-830e-83b45a154189,d139e461-175c-4156-beb0-e6a23b64d978,"44AM","ROUTE 44 AM","DAVIS EXPRESS - 44 AM",3,EF4034,000000
23e70d26-86c8-4231-8340-674b13ee5806,d139e461-175c-4156-beb0-e6a23b64d978,"243PM","ROUTE 243 PM","DAVIS/WOODLAND -243 PM",3,7D9ACC,000000
1f03066d-bc44-4d9d-8ad3-19f152ca3138,d139e461-175c-4156-beb0-e6a23b64d978,"45AM","ROUTE 45 AM","WOODLAND EXPRESS - 45 AM",3,EF4135,000000
bcafaffd-74fe-4196-bf75-426007db50ac,d139e461-175c-4156-beb0-e6a23b64d978,"43PM","ROUTE 43 PM","DAVIS EXPRESS - 43 PM",3,EF4034,000000
47e7cb7b-5465-43e3-ac9f-7c1ba88a60d8,d139e461-175c-4156-beb0-e6a23b64d978,"220CA","ROUTE 220C AM","WINTERS COMMUTE - 220C AM",3,00ABEC,000000
51169ba5-469b-4e11-8146-a4c232bcf0db,d139e461-175c-4156-beb0-e6a23b64d978,"340","ROUTE 340","CALSTRS/ZIGGURAT - 340",3,F04E2A,000000
9003683b-69db-4979-b8bc-c5772dd63f3d,d139e461-175c-4156-beb0-e6a23b64d978,"217PM","ROUTE 217 PM","DUNNIGAN - 217 PM",3,1A559D,000000
d00593f3-6b8f-43d2-9178-bc4d0e4f3720,d139e461-175c-4156-beb0-e6a23b64d978,"241PM","ROUTE 241 PM","WEST SACRAMENTO COMMUTE - 241 PM",3,18468F,FFFFFF
e146258a-a357-4646-9909-a0ba5b032813,d139e461-175c-4156-beb0-e6a23b64d978,"40","ROUTE 40","WEST SACRAMENTO LOCAL - 40",3,6F308E,000000
a70d15dc-0df6-42fb-a3a4-09ef5bda0ad0,d139e461-175c-4156-beb0-e6a23b64d978,"43AM","ROUTE 43 AM","DAVIS EXPRESS - 43 AM",3,EF4034,000000
65124ce8-79c7-45f0-a2cf-0250594188f3,d139e461-175c-4156-beb0-e6a23b64d978,"441","THE Y SHUTTLE","Free Shuttle between West Sacramento Transit Center and Downtown Sacramento",3,191970,FFFFFF
