stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
eda38c3a-349a-4f8f-8cee-2cc91d09d246,"23297","Ashley at W. Court","",38.678714837927,-121.797852563154,0
a17ae909-0af6-4de9-b019-42dd6db6634d,"23294","W. Court at Cottonwood EB","""W. Court at Cottonwood""",38.6789154218981,-121.793591934061,0
e69e9976-9310-4b8f-a236-5e803ce7d2a8,"23027","Cottonwood at Riverside NB","""""",38.6805824149002,-121.793197649312,0
d3aa9bec-5520-48a6-b45f-6e5467a34041,"23025","Cottonwood at Buckeye NB","""""",38.6832498719245,-121.793148028442,0
41531c2b-ce90-4bf1-a289-1d3303831212,"23023","Cottonwood at W Beamer NB","""""",38.6847760489449,-121.793146687338,0
c0eb9220-ad88-4af3-9fcd-9eed7703d643,"23495","N. Cottonwood at W. Woodland NB","",38.6878793649602,-121.793571817492,0
5571e507-5885-4efb-aa5e-8748e3a00117,"23497","N. Ashley at W. Woodland","",38.6889468842117,-121.797774839269,0
6be487b4-0258-4b20-9f25-2327366c2a85,"23498","W. Kentucky at N. Ashley","",38.6921166813569,-121.797570973558,0
53d3cd29-c321-4b6f-a2cb-4b5afa249d6e,"23505","N. Cottonwood at W. Kentucky","",38.6919335241278,-121.793110477514,0
39c667e0-b38f-4970-8af7-c46d0433cbcc,"23496","N. Cottonwood at W. Woodland SB","",38.6880778484391,-121.793582546328,0
daa05d86-01bf-4f92-9bd6-cca0013d3748,"23014","W. Beamer at Mariposa EB","""W. Beamer at Mariposa""",38.6847599556899,-121.790058123473,0
7930e5b0-66de-4708-ba17-93601d9801b8,"23020","W. Beamer at West EB","""W. Beamer at West""",38.684769343422,-121.784167992125,0
c2e907be-b86d-4e8f-a4d9-7ff190a5815d,"23099","West at Clover SB","""West at Clover""",38.6824478913813,-121.784024493934,0
acf21332-2b7e-4abe-a368-850a9d7f691e,"23102","West at North SB","""West at North""",38.6798984515606,-121.784052657131,0
8657d35b-b850-4894-b813-ba4733ba099f,"23041","Court at Cleveland EB","""""",38.6788027691128,-121.7796001899,0
b29d7570-2770-4046-97a1-7e9452b7afbe,"23045","Court at Walnut EB","""""",38.678775947021,-121.777882234924,0
a474ec18-6c33-4eae-a595-4856c05105b8,"23043","Court at College EB","""""",38.6787504660338,-121.77420626725,0
2e18a735-9ffe-46f8-ad9c-6baf014ad23b,"23039","Court at 2nd EB","""Post Office""",38.6787316905696,-121.771579043363,0
e6275c54-fab5-40e8-9e77-5e92972337be,"23298","3rd St. at Clover NB","""""",38.6825471331207,-121.770532981785,0
2bb1b1d1-ca6b-4967-ad6b-111747c035b4,"23301","3rd St. at Beamer NB","",38.6844045629742,-121.770528958471,0
307d14c7-4a2a-412c-bc52-8fe263a6a8b6,"23018","Beamer at 5th EB","""""",38.6846701016825,-121.767278120952,0
071bb6e0-ce3f-4842-b696-2f77d21311a3,"23016","E. Beamer at Matmor EB","""""",38.6845896354073,-121.758535460146,0
d0c26673-e96d-477e-ace2-aebcd2b6e070,"23087","Matmor at Cannery SB","""Matmor at Cannery""",38.6810826469113,-121.756224736942,0
816ebea1-e3b3-4a8d-83d0-e8556da70a27,"23069","E. Gum at Matmor WB","""E. Gum at Matmor""",38.6682885091477,-121.757218495442,0
15af1bbe-e124-4e86-8b1f-bced5268e040,"23066","E. Gum at East WB","""Gum at East""",38.668339471122,-121.764393404984,0
79a96ec6-f0d3-4f90-9047-cf0c72161617,"23494","Woodland Community & Senior Center NB","",38.6538018973948,-121.764945940074,0
b21bb77f-8f8e-42d1-851c-2e41206f83a4,"23284","W. Capitol at Jefferson WB","",38.5808699477238,-121.525938303825,0
48aab1e4-70a9-4922-ab3f-9fed17117726,"23240","Jefferson at Michigan NB","",38.583007668436,-121.526222617997,0
61e6f459-6412-4548-93c8-ea62e5868d3d,"23439","Jefferson at Triangle Court NB","",38.5869384459816,-121.526906581337,0
ab43d1e7-37ae-4c47-9fb7-6e8a7599220b,"23223","5th St. at C St.","",38.5890627556481,-121.512649298468,0
0b2628ce-dd01-4b5d-a8ad-69fbbc697ff2,"23224","6th St. at Andrew SB","""""",38.590834354808,-121.513828129401,0
975da23c-72e7-4068-a02a-d8374f9271e6,"23508","Cummins at Rueter WB","""""",38.5933368559681,-121.516916693265,0
e33d2fa4-2bdf-4d95-a63e-6b7b27a6c5ec,"23509","Cummins at Fairway WB","""Cummins at Fairway""",38.5938786622214,-121.521505953163,0
f5a90c7c-25cc-470e-a7a9-2eea9a398b0c,"23510","Cummins at Hardy WB","""Cummins at Hardy""",38.5941187199425,-121.523467989175,0
85f4f7d1-9d7e-4f90-b374-f7bf4c255033,"23511","Cummins at Kegle WB","",38.5942702647609,-121.525923551674,0
8189926c-cc13-4fe4-a3a6-52b19a54f61d,"23424","Anna at Holland WB","""""",38.5963033793153,-121.529639752486,0
04386ec4-9a10-4e2c-b928-95c8a6dc5232,"23423","Anna at Todhunter WB","",38.5953310784895,-121.533490063756,0
55f70ac6-35a7-4418-8152-3fe57df22692,"23226","Anna at Bryte WB","",38.5942850169113,-121.537364514909,0
4db6ce15-1647-489f-9a5b-fa925fbb7400,"23228","Bryte at Lisbon","",38.5955617484785,-121.538795473504,0
117d2319-6fa5-42f5-9dd6-716cff2524c1,"23255","Lisbon at Water","",38.5947114881701,-121.542217972411,0
51377821-87fa-483d-bd6e-c4352cc17c05,"23272","Water at Hobson SB","""Water at Hobson""",38.5923538263055,-121.541352959952,0
8e36cb69-0f28-4eb3-8c30-028d4b5026ee,"23327","Solano at Sacramento SB","""Solano at Sacramento""",38.5913560444925,-121.53999576211,0
48f1062f-c0d7-49b5-859f-87db57fbe97f,"23379","Reed at Oak WB","""Reed at Oak""",38.5915357525072,-121.543933245178,0
2092e136-24cc-4ba7-b29b-665441e78129,"23566","Ikea Ct. at Reed","""""",38.5912085229879,-121.548750492856,0
baa175c1-1933-4c78-ab4e-44d026f6f235,"23421","Ikea Ct. at IKEA NB","",38.58915395076,-121.552063021187,0
3cffdd7f-4509-47e6-b70e-cde48bf42cbe,"23264","Reed at Ikea EB","",38.591685956221,-121.548297199505,0
c7548b05-dbe0-45ce-a57a-89b58c371702,"23380","Reed at Oak EB","""Reed at Oak""",38.5914113046063,-121.543950881183,0
776f82d0-b5f9-411c-b6ea-83a53be4fe3b,"23437","Sacramento at Bryte EB","""Sacramento at Bryte""",38.5906063670281,-121.537109705037,0
00a9a175-f17c-449d-ae09-4f74abfa85c3,"23332","Sacramento at Todhunter","",38.5902187878024,-121.53357589445,0
99a9e51f-8a9a-492b-92c6-887e8cf85536,"23434","Sacramento at Jefferson EB","""Sacramento at Jefferson""",38.5895696931821,-121.527365239106,0
f815bba5-7a95-49dd-acc5-d59a438361fe,"23243","Jefferson at Triangle Court SB","",38.5870712153358,-121.526985706507,0
6f8c17c6-3271-4f88-a49c-0cad2f2fedbf,"23239","Jefferson at Michigan","",38.5824470867185,-121.526514978797,0
51f53407-ecac-49df-b858-c5633606ff37,"23285","W. Capitol at Jefferson EB","""W. Capitol at Jefferson""",38.5806607354081,-121.526223959102,0
ca3e7361-5f7d-496d-95f8-80abb90d4790,"23472","W. Capitol at Merkley","",38.581496243566,-121.522534580382,0
d35cddd6-3832-4c38-946d-0a9a24cbcede,"23441","5th St. at G St. NB","",38.5845351865611,-121.513593436098,0
5f30a0a3-d382-4db6-b96d-294368304aa3,"23221","3rd St. at G St. SB","",38.5834623028912,-121.511034608545,0
d886a75f-fe41-47aa-b3af-e6a0ba07a98d,"23412","Capitol Mall at Front EB","""Embassy Suites""",38.5801014947952,-121.506804764676,0
01f9bce4-cd1e-4707-b2ed-a1683734e588,"23512","N at 4th","",38.5779382930957,-121.503170371245,0
ab1c5619-cd0c-42e7-84e6-9b576cbd35bb,"23563","N St. at 7th St.","""""",38.5768962548313,-121.499309331138,0
ad3a3860-d2ff-4e0c-b0a4-9a9e44d57f24,"23513","8th St. at N St.","",38.5769016192497,-121.497906535739,0
005f4090-8510-443b-8cb8-8d589f6d8137,"23600","Capitol Mall at 7th St.","",38.5779986428022,-121.498170733343,0
