timetable_id,stop_id,stop_sequence,stop_name,connected_routes
22,28635,9,Main Street and Lotz Way,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School, 90/FTC/El Cerrito Del Norte BART/Suisun City Amtrak"
22,5230,10,Railroad Ave @ Amtrak (Suisun City Amtrak Station),"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28637,11,Main St. and Driftwood Dr.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28638,12,Main St. and California St.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,28639,13,Cordelia St. and West St.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,795553,14,Pennsylvania Ave. & Ohio St.,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
22,805482,15,Woolner Ave and Gregory St,5/FTC/Suisun Senior Center
22,28598,16,Woolner Ave and Vine Dr.,5/FTC/Suisun Senior Center
22,28599,17,Beck Ave and Woolner Ave,"5/FTC/Suisun Senior Center, 7BT/Solano Town Center, 7/ FTC/Solano College/Cordelia Library"
22,5351,18,Fairfield Transportation Center (FTC),"1/FTC/Walmart, 20/Fairfield/Vacaville, 30/Sacramento/Davis/Fairfield, 3/FTC/Solano Town Center/Walmart, 40/WC/PH BART - Vacaville/Fairfield, 5/FTC/Suisun Senior Center, 7AT/Rodriguez High School, 7BT/Solano Town Center, 7/ FTC/Solano College/Cordelia Library, 90/FTC/El Cerrito Del Norte BART/Suisun City Amtrak"
23,5351,1,Fairfield Transportation Center (FTC),"1/FTC/Walmart, 20/Fairfield/Vacaville, 30/Sacramento/Davis/Fairfield, 3/FTC/Solano Town Center/Walmart, 40/WC/PH BART - Vacaville/Fairfield, 5/FTC/Suisun Senior Center, 7AT/Rodriguez High School, 7BT/Solano Town Center, 7/ FTC/Solano College/Cordelia Library, 90/FTC/El Cerrito Del Norte BART/Suisun City Amtrak"
23,28724,2,Woolner Ave and Vine St,5/FTC/Suisun Senior Center
23,28723,3,Woolner fs Enterprise,5/FTC/Suisun Senior Center
23,28722,4,Woolner Ave and Gregory Ln.,5/FTC/Suisun Senior Center
23,28757,5,Pennsylvania Ave and Woolner Ave,5/FTC/Suisun Senior Center
23,28622,6,Cordelia Rd. and West St,5/FTC/Suisun Senior Center
23,28754,7,Main St fs Morgan St,5/FTC/Suisun Senior Center
23,28755,8,Main St op Sacramento St,5/FTC/Suisun Senior Center
23,28635,9,Main Street and Lotz Way,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School, 90/FTC/El Cerrito Del Norte BART/Suisun City Amtrak"
23,5230,10,Railroad Ave @ Amtrak (Suisun City Amtrak Station),"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
23,28623,11,Civic Center Dr @ Suisun City Hall,5/FTC/Suisun Senior Center
23,28633,12,Driftwood @ Josiah Circle,5/FTC/Suisun Senior Center
23,28624,13,Driftwood Dr. and Marina Blvd.,5/FTC/Suisun Senior Center
23,28625,14,Buena Vista Ave and Marina Blvd,5/FTC/Suisun Senior Center
23,28626,15,Buena Vista Ave and Pittier Way,5/FTC/Suisun Senior Center
23,28627,16,Pintail Dr. and Parkside Dr.,5/FTC/Suisun Senior Center
23,28628,17,Merganser Dr. and Wigeon Way (Suisun City Post Office),"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
24,5351,1,Fairfield Transportation Center (FTC),"1/FTC/Walmart, 20/Fairfield/Vacaville, 30/Sacramento/Davis/Fairfield, 3/FTC/Solano Town Center/Walmart, 40/WC/PH BART - Vacaville/Fairfield, 5/FTC/Suisun Senior Center, 7AT/Rodriguez High School, 7BT/Solano Town Center, 7/ FTC/Solano College/Cordelia Library, 90/FTC/El Cerrito Del Norte BART/Suisun City Amtrak"
24,28724,2,Woolner Ave and Vine St,5/FTC/Suisun Senior Center
24,28723,3,Woolner fs Enterprise,5/FTC/Suisun Senior Center
24,28722,4,Woolner Ave and Gregory Ln.,5/FTC/Suisun Senior Center
24,28757,5,Pennsylvania Ave and Woolner Ave,5/FTC/Suisun Senior Center
24,28622,6,Cordelia Rd. and West St,5/FTC/Suisun Senior Center
24,28754,7,Main St fs Morgan St,5/FTC/Suisun Senior Center
24,28755,8,Main St op Sacramento St,5/FTC/Suisun Senior Center
24,28635,9,Main Street and Lotz Way,"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School, 90/FTC/El Cerrito Del Norte BART/Suisun City Amtrak"
24,5230,10,Railroad Ave @ Amtrak (Suisun City Amtrak Station),"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
24,28623,11,Civic Center Dr @ Suisun City Hall,5/FTC/Suisun Senior Center
24,28633,12,Driftwood @ Josiah Circle,5/FTC/Suisun Senior Center
24,28624,13,Driftwood Dr. and Marina Blvd.,5/FTC/Suisun Senior Center
24,28625,14,Buena Vista Ave and Marina Blvd,5/FTC/Suisun Senior Center
24,28626,15,Buena Vista Ave and Pittier Way,5/FTC/Suisun Senior Center
24,28627,16,Pintail Dr. and Parkside Dr.,5/FTC/Suisun Senior Center
24,28628,17,Merganser Dr. and Wigeon Way (Suisun City Post Office),"5/FTC/Suisun Senior Center, 7AT3/Green Valley MS, 7AT/Rodriguez High School"
25,5351,1,Fairfield Transportation Center (FTC),"1/FTC/Walmart, 20/Fairfield/Vacaville, 30/Sacramento/Davis/Fairfield, 3/FTC/Solano Town Center/Walmart, 40/WC/PH BART - Vacaville/Fairfield, 5/FTC/Suisun Senior Center, 7AT/Rodriguez High School, 7BT/Solano Town Center, 7/ FTC/Solano College/Cordelia Library, 90/FTC/El Cerrito Del Norte BART/Suisun City Amtrak"
25,28600,2,W Texas St and Beck Ave,"1/FTC/Walmart, 7BT/Solano Town Center"
25,28713,3,W Texas St and 5th St (Allan Witt Park),"1/FTC/Walmart, 7BT/Solano Town Center"
25,28727,4,W Texas St and Gregory Ln,"1/FTC/Walmart, 7BT/Solano Town Center"
25,28728,5,W Texas St and 1st St,"1/FTC/Walmart, 7BT/Solano Town Center"
25,28656,6,Pennsylvania Ave and Kentucky St,"1/FTC/Walmart, 7BT/Solano Town Center"
25,28729,7,Kentucky St and Madison St(Civic Center),1/FTC/Walmart
25,28596,8,Webster St and Kentucky St,1/FTC/Walmart
25,28730,9,Washington St and Empire St (Armijo High School),1/FTC/Walmart
25,28601,10,Texas St and State St,1/FTC/Walmart
25,28602,11,N Texas St and  E Kentucky St,1/FTC/Walmart
25,28603,12,N Texas St and  E Bell St,1/FTC/Walmart
25,28558,13,N Texas St and E Travis Blvd,"1/FTC/Walmart, 2/Route 2 - Solano Town Ctr/Huntington Ct"
25,28559,14,N Texas and Acacia Ave (Mexico Meat Market),"1/FTC/Walmart, 2/Route 2 - Solano Town Ctr/Huntington Ct"
25,28560,15,N Texas St and E Tabor Ave,1/FTC/Walmart
25,28561,16,N Texas St and E Pacific Ave,1/FTC/Walmart
25,28562,17,N Texas St and Alaska Ave,1/FTC/Walmart
25,28563,18,N Texas St and Air Base Parkway,"1/FTC/Walmart, 3/FTC/Solano Town Center/Walmart"
25,28609,19,Atlantic Ave and Orchid St (Walmart),"1/FTC/Walmart, 3/FTC/Solano Town Center/Walmart, 4/Smart & Final/Travis Air Force Base"
26,5351,1,Fairfield Transportation Center (FTC),"1/FTC/Walmart, 20/Fairfield/Vacaville, 30/Sacramento/Davis/Fairfield, 3/FTC/Solano Town Center/Walmart, 40/WC/PH BART - Vacaville/Fairfield, 5/FTC/Suisun Senior Center, 7AT/Rodriguez High School, 7BT/Solano Town Center, 7/ FTC/Solano College/Cordelia Library, 90/FTC/El Cerrito Del Norte BART/Suisun City Amtrak"
26,28600,2,W Texas St and Beck Ave,"1/FTC/Walmart, 7BT/Solano Town Center"
26,28713,3,W Texas St and 5th St (Allan Witt Park),"1/FTC/Walmart, 7BT/Solano Town Center"
26,28727,4,W Texas St and Gregory Ln,"1/FTC/Walmart, 7BT/Solano Town Center"
26,28728,5,W Texas St and 1st St,"1/FTC/Walmart, 7BT/Solano Town Center"
26,28656,6,Pennsylvania Ave and Kentucky St,"1/FTC/Walmart, 7BT/Solano Town Center"
26,28729,7,Kentucky St and Madison St(Civic Center),1/FTC/Walmart
26,28596,8,Webster St and Kentucky St,1/FTC/Walmart
26,28730,9,Washington St and Empire St (Armijo High School),1/FTC/Walmart
26,28601,10,Texas St and State St,1/FTC/Walmart
26,28602,11,N Texas St and  E Kentucky St,1/FTC/Walmart
26,28603,12,N Texas St and  E Bell St,1/FTC/Walmart
26,28558,13,N Texas St and E Travis Blvd,"1/FTC/Walmart, 2/Route 2 - Solano Town Ctr/Huntington Ct"
26,28559,14,N Texas and Acacia Ave (Mexico Meat Market),"1/FTC/Walmart, 2/Route 2 - Solano Town Ctr/Huntington Ct"
26,28560,15,N Texas St and E Tabor Ave,1/FTC/Walmart
26,28561,16,N Texas St and E Pacific Ave,1/FTC/Walmart
26,28562,17,N Texas St and Alaska Ave,1/FTC/Walmart
26,28563,18,N Texas St and Air Base Parkway,"1/FTC/Walmart, 3/FTC/Solano Town Center/Walmart"
26,28609,19,Atlantic Ave and Orchid St (Walmart),"1/FTC/Walmart, 3/FTC/Solano Town Center/Walmart, 4/Smart & Final/Travis Air Force Base"
27,28609,1,Atlantic Ave and Orchid St (Walmart),"1/FTC/Walmart, 3/FTC/Solano Town Center/Walmart, 4/Smart & Final/Travis Air Force Base"
27,28731,2,N Texas St and Marigold Dr,1/FTC/Walmart
27,28732,3,Dickson Hill Rd and N Texas St,1/FTC/Walmart
27,28733,4,Dickson Hill Rd and El Camino Dr,1/FTC/Walmart
