trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
VNYiA0430,05:13:00,05:13:00,LAXT2U,20,Van Nuys to LAX,1,0,,0
VNYiA0430,05:16:00,05:16:00,LAXT3U,30,Van Nuys to LAX,1,0,,0
VNYiA0430,05:20:00,05:20:00,LAXTBU,35,Van Nuys to LAX,1,0,,0
VNYiA0430,05:24:00,05:24:00,LAXT4U,40,Van Nuys to LAX,1,0,,0
VNYiA0430,05:27:00,05:27:00,LAXT5U,50,Van Nuys to LAX,1,0,,0
VNYiA0430,05:35:00,05:35:00,LAXT6U,60,Van Nuys to LAX,1,0,,0
VNYiA0430,05:35:00,05:35:00,LAXT7U,70,Van Nuys to LAX,1,0,,0
VNYiA0500,05:00:00,05:00:00,VNY,1,Van Nuys to LAX,0,1,,0
VNYiA0500,05:40:00,05:40:00,LAXT1U,10,Van Nuys to LAX,1,0,,0
VNYiA0500,05:43:00,05:43:00,LAXT2U,20,Van Nuys to LAX,1,0,,0
VNYiA0500,05:46:00,05:46:00,LAXT3U,30,Van Nuys to LAX,1,0,,0
VNYiA0500,05:50:00,05:50:00,LAXTBU,35,Van Nuys to LAX,1,0,,0
VNYiA0500,05:54:00,05:54:00,LAXT4U,40,Van Nuys to LAX,1,0,,0
VNYiA0500,05:57:00,05:57:00,LAXT5U,50,Van Nuys to LAX,1,0,,0
VNYiA0500,06:05:00,06:05:00,LAXT6U,60,Van Nuys to LAX,1,0,,0
VNYiA0500,06:05:00,06:05:00,LAXT7U,70,Van Nuys to LAX,1,0,,0
VNYiA0515,05:15:00,05:15:00,VNY,1,Van Nuys to LAX,0,1,,0
VNYiA0515,05:55:00,05:55:00,LAXT1U,10,Van Nuys to LAX,1,0,,0
VNYiA0515,05:58:00,05:58:00,LAXT2U,20,Van Nuys to LAX,1,0,,0
VNYiA0515,06:01:00,06:01:00,LAXT3U,30,Van Nuys to LAX,1,0,,0
VNYiA0515,06:05:00,06:05:00,LAXTBU,35,Van Nuys to LAX,1,0,,0
VNYiA0515,06:09:00,06:09:00,LAXT4U,40,Van Nuys to LAX,1,0,,0
VNYiA0515,06:12:00,06:12:00,LAXT5U,50,Van Nuys to LAX,1,0,,0
VNYiA0515,06:20:00,06:20:00,LAXT6U,60,Van Nuys to LAX,1,0,,0
VNYiA0515,06:20:00,06:20:00,LAXT7U,70,Van Nuys to LAX,1,0,,0
VNYiA0530,05:30:00,05:30:00,VNY,1,Van Nuys to LAX,0,1,,0
VNYiA0530,06:10:00,06:10:00,LAXT1U,10,Van Nuys to LAX,1,0,,0
VNYiA0530,06:13:00,06:13:00,LAXT2U,20,Van Nuys to LAX,1,0,,0
VNYiA0530,06:16:00,06:16:00,LAXT3U,30,Van Nuys to LAX,1,0,,0
VNYiA0530,06:20:00,06:20:00,LAXTBU,35,Van Nuys to LAX,1,0,,0
VNYiA0530,06:24:00,06:24:00,LAXT4U,40,Van Nuys to LAX,1,0,,0
VNYiA0530,06:27:00,06:27:00,LAXT5U,50,Van Nuys to LAX,1,0,,0
VNYiA0530,06:35:00,06:35:00,LAXT6U,60,Van Nuys to LAX,1,0,,0
VNYiA0530,06:35:00,06:35:00,LAXT7U,70,Van Nuys to LAX,1,0,,0
VNYiA0545,05:45:00,05:45:00,VNY,1,Van Nuys to LAX,0,1,,0
VNYiA0545,06:25:00,06:25:00,LAXT1U,10,Van Nuys to LAX,1,0,,0
VNYiA0545,06:28:00,06:28:00,LAXT2U,20,Van Nuys to LAX,1,0,,0
VNYiA0545,06:31:00,06:31:00,LAXT3U,30,Van Nuys to LAX,1,0,,0
