place_id,place_name,reference_place,place_lat,place_long
beypal,Beyer Way & Palm Ave,,32.584233568218,-117.061895515680
beyS_N,Beyer,beyS,32.557623791364,-117.046945042499
beyS_S,Beyer,beyS,32.557557579912,-117.046983389448
blagol,Black Mountain Rd. & Gold Coast,,32.905555055001,-117.124140943584
blmmir,Black Mountain & Miramar Rd,,32.894085891535,-117.123586185826
bonbo1,Bonita Rd. & Bonita Glen Dr.,,32.647962798172,-117.063698408331
bonbon,Bonita Rd. & Bonita Glen Dr.,,32.647963741444,-117.064762044213
bonot1,Bonita Rd. & Otay Lakes Rd.,,32.660455516729,-117.030936343048
bonota,Bonita Rd. & Otay Lakes Rd.,,32.661196751685,-117.032024885986
bonwi1,Bonita Rd & Willow St,,32.657208143563,-117.042012817382
bonwil,Bonita Rd & Willow St,,32.658730748212,-117.039579593310
borreg,Borrego,,33.256565283140,-116.375733233938
boslan,Boswell Rd & Lane Ave,,32.655438794489,-116.962513166252
boulev,Boulevard,,32.668281460257,-116.301192552990
bro1st,Broadway & 1st Ave,,32.715716822014,-117.163826130460
bro2nd,Broadway & 2nd Ave,,32.715709059813,-117.162907252088
bro4th,Broadway & 5th Ave,,32.715698159757,-117.160961603005
broba1,Broadway & Ballantyne,,32.807676495075,-116.957731932720
brobal,Broadway & Ballantyne,,32.807694872875,-116.958792421871
broem1,Broadway & East Main St.,,32.806691725795,-116.923684489312
broemn,Broadway & East Main St.,,32.807824104527,-116.923178930372
broket,Broadway & Kettner Bl,,32.715714350430,-117.168893800261
brol,Broadway & "L" St,,32.617137564433,-117.084147655883
bromo1,Broadway & Mollison Ave,,32.807685911187,-116.951748794632
bromol,Broadway & Mollison Ave,,32.807706319174,-116.950623524662
bropie,Broadway Pier,,32.716038226886,-117.173406654033
broS_N,Lemon Grove,broS,32.743280155396,-117.030740263781
broS_S,Lemon Grove,broS,32.743294473269,-117.030649328617
brotro,Lemon Grove Trolley Station,,32.742676211783,-117.031146965355
bucspr,Buckman Springs,,32.757048838644,-116.484585424878
cabmon,Cabrillo Monument,,32.674514935528,-117.240514114859
cabnew,Cable St. & Newport Ave,,32.745595046263,-117.249575135245
cabvol,Cable & Voltaire St,,32.750855401254,-117.244959271344
camcap,Camino Ruiz & Capricorn Way,,32.925774382881,-117.143941513366
camcon,Campo Rd & Conrad Dr,,32.747988572026,-116.986857895313
camfla,Camino Santa Fe & Flanders Dr.,,32.905020370155,-117.171047222596
camgen,Genesee & Campus Point Dr.,,32.881851712107,-117.220639642252
camgol,Camino Ruiz & Gold Coast Dr,,32.905392117028,-117.146125894642
campo,Campo/Cameron Corners,,32.628533805776,-116.472297949226
campoP,Campo parking lot,,32.608203441114,-116.474045661263
camwil,Camino de la Plaza & Willow Rd,,32.545463301393,-117.042075310634
carcar,Carlisle Dr & Cardiff St,,32.718823326742,-117.025899933310
carjam,Cardiff & Jamacha,,32.717607430899,-117.026243942916
carpen,Carmel Mtn Rd & Penasquitos Dr,,32.977284741530,-117.090533535623
ccoS_N,City College Station,ccoS,32.716780291870,-117.154495283920
ccoS_S,City College Station,ccoS,32.715929811191,-117.153907836254
chajoh,Chase Ave & Johnson Ave,,32.780396755894,-116.970042230663
citcol,City College Trolley Station,,32.715819640681,-117.153939218759
civS_N,Civic Center Station,civS,32.716839943366,-117.162442003449
civS_S,Civic Center Station,civS,32.716647465872,-117.162453015958
clabal,Clairemont Dr & Balboa Ave,,32.811735469455,-117.201018167968
clabur,Clairemont Dr & Burgener,,32.794380583056,-117.194125581056
claclm,Clairemont Mesa Bl & Clairemont Dr,,32.827619765022,-117.206284435128
claclN,Clairemont Dr & Clairemont Mesa Blvd,clacla,32.828716384628,-117.205934996860
clacnW,Clairemont Mesa Bl & Convoy,,32.832901757940,-117.153819801303
clacom,Kearny Mesa Transit Center,,32.831266001676,-117.134130057002
clagen,Clairemont Mesa Bl & Genesee,,32.834813522427,-117.194673211426
clagnE,Clairemont Mesa Bl & Genesee,clagen,32.834353181872,-117.194201089247
clagnW,Clairemont Mesa Bl & Genesee,clagen,32.834638409055,-117.195359898364
clamai,Claydelle & E. Main St.,,32.794524277916,-116.958822437513
clasan,Clairemont Mesa Blvd. & Santo Rd.,,32.830319161976,-117.106237596514
clasha,Clairemont Mesa & Shawline St.,,32.832705399174,-117.162952860969
cnbalN,Convoy St & Balboa Ave,,32.822842109264,-117.154956747831
cnbalW,Balboa & Convoy (NW Corner),,32.821938257798,-117.155650569530
cnclaS,Convoy & Clairemont Mesa Bl,,32.832052783274,-117.153400888047
cocS_N,County Center Station,cocS,32.721319825191,-117.169869148282
cocS_S,County Center Station,cocS,32.721291760208,-117.169946889900
colelc,El Cajon Blvd & College Ave,,32.760642451874,-117.066982012331
colgrv,College Grove Center,,32.740479619137,-117.056771391349
colpas,College Ave & Lindo Paseo,,32.772235242921,-117.069772849966
coluni,University Ave. & College Ave.,,32.752700836609,-117.065336728855
comcla,Kearny Mesa Transit Center,,32.830915630424,-117.135080393055
comlin,Linda Vista Rd. & Comstock,,32.783474396042,-117.171767743991
comstk,Comstock & Linda Vista Rd.,,32.783178765808,-117.171237546712
conS_N,Convention Center Station,conS,32.708981763095,-117.163579780176
conS_S,Convention Center Station,conS,32.709064332599,-117.163564381008
copgar,Copley Park Garage,,32.836013733659,-117.155980965377
corhol,Coronado Av & Hollister St,,32.576485120832,-117.084621802427
cormar,Cornado Island Marriott Resort,,32.694510574345,-117.166984840319
cuycol,Cuyamaca College,,32.743909134542,-116.941982128147
deepar,Deep Dell & Paradise Valley Rd,,32.695690136951,-117.029650199629
denwal,Dennery & Wal Mart,,32.580889892206,-117.033231986202
descan,Descanso,,32.841310325232,-116.612819938070
divava,Division & Ava,,32.693851016883,-117.069343047112
diveuc,Division St & Euclid Ave,,32.689499334099,-117.085438759499
dousun,Douglas Ave & Sunshine St,,32.793818071580,-116.964611918848
dulzur,Dulzura,,32.643836634838,-116.780567874182
e3rd,"E" St & 3rd Ave,,32.644654895636,-117.081786249539
easclu,Eastlake Pkwy & Clubhouse Dr,,32.641561289474,-116.966486005000
eascou,East County Square,,32.823419186359,-116.902650766749
easoly,Eastlake Pkwy. & Olympic Pkwy.,,32.626681931321,-116.964544077338
easvi1,Eastlake Village,,32.648666558830,-116.965646099024
easvil,Eastlake Village,,32.646638769687,-116.965025401314
ecajtc,El Cajon Transit Center,,32.792032252391,-116.975705938084
