stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
41097,Prospect Av & Redwood Dr,32.833949081286,-116.999399054161,41097,0,,1,F-W/B,profan,,Prospect&Redwood
41098,West Hills Pkwy & Mission Gorge Rd,32.838208631260,-117.025321533136,41098,0,,1,F-N/B,,,WHills&Msn Grg
41099,Prospect Av & Double M Rd,32.833765696181,-116.997912961880,41099,0,,1,F-E/B,,,Prospect&Double M
41100,Prospect Av & Northview Ln,32.833801383416,-116.993824292816,41100,0,,1,F-E/B,,,Prospect&Northview
41101,Prospect Av & Argent St,32.833559567123,-116.989697478562,41101,0,,1,N-E/B,,,Prospect&Argent
41102,Prospect Av & Pathway St,32.832334554286,-116.987724120843,41102,0,,1,N-E/B,,,Prospect&Pathway
41103,2nd St & Greenfield Dr,32.813747609843,-116.935566405382,41103,0,,1,F-N/B,,,2nd&Greenfield
41104,2nd St & Dawnridge Av,32.816314770466,-116.935550591583,41104,0,,1,N-N/B,,,2nd&Dawnridge
41105,2nd St & Pepper Dr,32.820271565708,-116.935236369079,41105,0,,1,F-S/B,2ndpep,,2nd&Pepper
41106,2nd St & Dawnridge Av,32.816120668637,-116.935858294215,41106,0,,1,F-S/B,,,2nd&Dawnridge
41116,Elkelton Bl & Parkbrook St,32.703725549679,-117.013804602321,41116,0,,1,F-W/B,,,Elkelton&Parkbrook
41117,Tyler St & Tyler Ct,32.730340763217,-117.012204551691,41117,0,,1,N-E/B,,,Tyler&Tyler
41118,Bancroft Dr & 8963,32.730701547609,-117.006728480663,41118,0,,1,M-Street-N/B,banele,,Bancroft&8963
41119,Bancroft Dr & Valencia St,32.734933613064,-117.006377845967,41119,0,,1,F-N/B,,,Bancroft&Valencia
41120,Bancroft Dr & Lamar St,32.738866448536,-117.005520543175,41120,0,,1,N-N/B,,,Bancroft&Lamar
41121,Bancroft Dr & Switzer Dr,32.743176512484,-117.004100511050,41121,0,,1,N-N/B,,,Bancroft&Switzer
41122,Kenwood Dr & 9209,32.744488266959,-116.999922835893,41122,0,,1,M-Street-E/B,camken,,Kenwood&9209
41123,Kenwood Dr & 9210,32.744672049907,-116.999982940713,41123,0,,1,M-Street-W/B,banken,,Kenwood&9210
41124,Bancroft Dr & Switzer Dr,32.743098346290,-117.004298226409,41124,0,,1,F-S/B,,,Bancroft&Switzer
41125,Bancroft Dr & Lamar St,32.738865034346,-117.005751426317,41125,0,,1,N-S/B,,,Bancroft&Lamar
41126,Bancroft Dr & Valencia St,32.735235152632,-117.006507258731,41126,0,,1,N-S/B,,,Bancroft&Valencia
41127,Bancroft Dr & 2300,32.730816279605,-117.006843277067,41127,0,,1,M-Street-S/B,banchu,,Bancroft&2300
41128,Tyler St & Spring Grove Ln,32.730437546844,-117.012998812498,41128,0,,1,F-W/B,,,Tyler&Spring Grove
41129,Jamacha Rd & Sweetwater Rd,32.714688951447,-117.010739482496,41129,0,,1,F-E/B,jamswe,,Jamacha&Swtwter
41131,Jamacha Rd & Kempton St,32.714773984194,-117.001802784854,41131,0,,1,N-E/B,,,Jamacha&Kempton
41132,Grand Av & Jamacha Rd,32.714641137369,-116.997432104891,41132,0,,1,F-S/B,jamgra,,Grand&Jamacha
41133,Grand Av & St George St,32.711367235771,-116.997508377030,41133,0,,1,F-S/B,,,Grand&St George
41134,Jamacha Bl & Gillispie Dr,32.707383398317,-117.008075727105,41134,0,,1,F-W/B,sprshp,,Jamacha&Gillispie
41156,E Main St & 1625,32.809714878001,-116.920179585209,41156,0,,1,M-Street-N/B,,,E Main&1625
41158,Camino Canada & Walmart,32.823449659146,-116.902605420576,41158,0,,1,M-TC-Bus,eascou,,Cmo Canada&Walmart
41159,Pepper Dr & Vulcan St,32.825162826314,-116.959268677624,41159,0,,2,F-W/B,,,Pepper&Vulcan
41162,Old Hwy 80 & Flinn Crest St,32.847856265034,-116.865068338094,41162,0,,2,N-E/B,flinsp,,Old80&Flinn Crest
41164,Graves Av & Broadway,32.809588675200,-116.960448335091,41164,0,,1,F-N/B,,,Graves&Brdwy
41165,Cuyamaca St & Mast Bl,32.855775547514,-116.982778831825,41165,0,,1,F-N/B,cuymas,,Cuyamaca&Mast
41166,Cuyamaca St & Beck Dr,32.859365888546,-116.982639391474,41166,0,,1,F-N/B,,,Cuyamaca&Beck
41167,Cuyamaca St & El Nopal,32.862425251170,-116.982124266520,41167,0,,2,F-N/B,,,Cuyamaca&El Nopal
41168,Cuyamaca St & Woodglen Vista Dr,32.865733283414,-116.981852171302,41168,0,,1,F-N/B,,,Cuyamaca&Woodglen Vista
41172,Campo Rd & 9400,32.749346853790,-116.994597677827,41172,0,,1,M-Street-W/B,,,Campo&9400
41174,Ballantyne St & Madison Av,32.800260572097,-116.958016960735,41174,0,,1,N-N/B,,,Ballantyne&Madison
41175,Ballantyne St & Cedar St,32.805537663910,-116.958013830008,41175,0,,1,N-N/B,,,Ballantyne&Cedar
41176,Pomerado Rd & Arbolitos Park (Sports Field),32.975780746690,-117.062231453623,41176,0,,1,F-N/B,,,Pomerado&Arbolitos Park (Sports Field)
41197,Camino Canada & Los Coches Rd,32.825281770252,-116.901775901275,41197,0,,1,F-S/B,,,Cmo Canada&Los Coches
41232,Chase Av & Johnson Av,32.780318545663,-116.969738684045,41232,0,,1,F-E/B,chajoh,,Chase&Johnson
41234,Rancho San Diego Towne Center & Transit Center,32.738769011323,-116.941038350354,41234,0,,2,M-Special_Loc,rantow,,Rcho San Diego Towne Ctr&TC
41235,Poway Rd & Pomerado Rd,32.951708010764,-117.063713971387,41235,0,,1,N-E/B,powpom,,Poway&Pomerado
41243,Pomerado Rd & Robison Bl,32.953531873715,-117.062632234264,41243,0,,1,M-Street-S/B,,,Pomerado&Robison
41249,W Douglas Av & El Cajon Bl,32.794117023715,-116.967658208983,41249,0,,1,F-S/B,,,W Douglas&El Cjn
41250,W Douglas Av & Sunshine Av,32.793783862495,-116.964918824993,41250,0,,1,N-E/B,dousun,,W Douglas&Sunshine
41251,W Douglas Av & Magnolia Av,32.793793927646,-116.962702888294,41251,0,,1,N-E/B,,,W Douglas&Magnolia
41252,E Douglas Av & El Cajon Library,32.793789817967,-116.960555172402,41252,0,,1,M-Street-E/B,,,E Douglas&El Cjn Library
41253,Claydelle Av & E Main St,32.794564483752,-116.958713098209,41253,0,,1,N-N/B,clamai,,Claydelle&E Main
41255,E Main St & Taft Av,32.794862164948,-116.956167530971,41255,0,,1,F-E/B,emaba1,,E Main&Taft
41256,E Main St & Lincoln Av,32.794853035500,-116.953434011718,41256,0,,1,F-E/B,,,E Main&Lincoln
41257,E Main St & Mollison Av,32.794861259024,-116.950537926497,41257,0,,1,F-E/B,,,E Main&Mollison
41258,E Main St & Anza St,32.794857096935,-116.947876038435,41258,0,,1,F-E/B,emaanz,,E Main&Anza
41259,E Main St & 1st St,32.794850565359,-116.944159803902,41259,0,,1,F-E/B,,,E Main&1st
41260,E Main St & Ballard St,32.794837296655,-116.940645272110,41260,0,,1,F-E/B,,,E Main&Ballard
41261,E Main St & 2nd St,32.794841220713,-116.937973687799,41261,0,,1,N-E/B,,,E Main&2nd
41262,S 2nd St & E Main St,32.796844532995,-116.935561726027,41262,0,,1,M-Street-N/B,2ndemn,,S 2nd&E Main
41263,Madison Av & Walter Wy,32.800133330298,-116.934773757040,41263,0,,1,N-E/B,,,Madison&Walter
41265,E Main St & Oakdale Av,32.801161258008,-116.929301457586,41265,0,,1,M-Street-N/B,emnmad,,E Main&Oakdale
41266,E Main St & 1523,32.804517245305,-116.925776738512,41266,0,,1,M-Street-N/B,,,E Main&1523
41267,3rd St & Peach Av,32.806574698609,-116.926990195944,41267,0,,1,N-S/B,,,3rd&Peach
41269,E Main St & Oakdale Av,32.801681610068,-116.929139499953,41269,0,,1,F-S/B,,,E Main&Oakdale
41272,S 2nd St & E Main St,32.796408594142,-116.935864222900,41272,0,,1,N-S/B,2ndemn,,S 2nd&E Main
41273,E Main St & 2nd St,32.795152969436,-116.937269981411,41273,0,,1,F-W/B,,,E Main&2nd
41274,E Main St & Orlando St,32.795017321553,-116.939908002033,41274,0,,1,N-W/B,,,E Main&Orlando
41275,E Main St & Safari Dr,32.795068614758,-116.942527960464,41275,0,,1,F-W/B,,,E Main&Safari
41276,E Main St & 1st St,32.795072030823,-116.944854674691,41276,0,,1,F-W/B,,,E Main&1st
41277,E Main St & Anza St,32.795074253456,-116.947871251123,41277,0,,1,N-W/B,emaanz,,E Main&Anza
41278,E Main At & Mollison Av,32.795071196081,-116.951320582860,41278,0,,1,F-W/B,,,E Main At&Mollison
41279,E Main St & Lincoln Av,32.795072527854,-116.953019238881,41279,0,,1,N-W/B,,,E Main&Lincoln
41280,E Main St & Ballantyne St,32.795083596498,-116.957815886982,41280,0,,1,F-W/B,emabal,,E Main&Ballantyne
