timetable_id,stop_id,stop_sequence,stop_name,connected_routes
64,12992,30,Joyce Ave. & Herndon Rd.,42/
64,12550,31,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
65,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
65,12965,2,Crows Landing Rd. & School Ave.,42/
65,12966,3,Crows Landing Rd. & Hatch Rd.,42/
65,12967,4,Crows Landing Rd. & Amador Ave.,42/
65,12968,5,Crows Landing Rd. between Butte & Colusa,42/
65,12969,6,Crows Landing Rd. & Glenn Ave.,42/
65,12970,7,Crows Landing Rd. & Algen Ave.,42/
65,12971,8,Crows Landing Rd. & Whitmore Ave.,42/
65,12972,9,Crows Landing Rd. & Hackett Rd.,42/
65,12973,10,CSA Public Safety Center,42/
65,12974,11,Community Services Agency,42/
65,12975,12,Whitmore Ave. & Crows Landing Rd.,42/
65,12976,13,Whitmore Ave. & Trevose Dr.,42/
65,12977,14,Whitmore Ave. & Dallas St.,42/
65,12978,15,Whitmore Ave. & Ustick Rd.,42/
65,12979,16,Tucson Ave. & Whitmore Ave.,42/
65,12980,17,Tucson Ave. & Placer Ave.,42/
65,12981,18,Tucson Ave. & Lassen Ave.,42/
65,12982,19,Tucson Ave. & Glenn Ave.,42/
65,12983,20,Glenn Ave. & Ustick Rd.,42/
65,12984,21,Glenn Ave. & Frazier St.,42/
65,12985,22,Glenn Ave. & Dallas St.,42/
65,12986,23,Dallas St. & Butte Ave.,42/
65,12987,24,Dallas St. & Hatch Rd.,42/
65,12988,25,Hatch Rd. between Cascade & Canal,42/
65,12989,26,Hatch Rd. & Crows Landing Rd.,42/
65,12990,27,Hatch Rd. & Jim Way,42/
65,12991,28,Hatch Rd. & Church Ln.,42/
65,12743,29,Herndon Rd. & Hatch Rd.,"29/, 42/"
65,12992,30,Joyce Ave. & Herndon Rd.,42/
65,12550,31,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
66,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
66,12551,2,I St. & 7th St.,"21/, 26/, 36/, 43/"
66,12552,3,H St. & 4th St.,"21/, /21RX, 36/, 43/"
66,12554,4,H St. & 2nd St.,"21/, /21RX, 43/"
66,12553,5,Modesto HS - Paradise Rd. & Washington St.,"21/, /21RX, 43/"
66,12555,6,Paradise Rd. & Ash St.,"21/, /21RX, 43/"
66,13317,7,Paradise/Sutter (Paradise Medical),"/21RX, 43/"
66,13318,8,Paradise Rd. & Florette Ave.,"/21RX, 43/"
66,13319,9,Paradise Rd. & Mayette Ave.,"/21RX, 43/"
66,13321,10,Paradise Rd. & Pine Tree Ln.,"/21RX, 43/"
66,13320,11,Paradise Rd. & Vernon Ave.,"/21RX, 43/"
66,13322,12,Carpenter Rd. & Paradise Rd.,43/
66,12850,13,Carpenter Rd. & Beverly Dr.,"36/, 43/"
66,12851,14,Carpenter Rd. & Chicago Ave.,"36/, 43/"
66,12589,15,Carpenter Rd. & Houser Ln.,"26/, 36/, 43/"
66,13323,16,California Ave. & Champagne Ln.,43/
66,13324,17,California Ave. & Panama Dr.,43/
66,13325,18,California Ave. & Spencer Ave.,43/
66,16247,19,California Eb Martin Luther King Ns,43/
66,13326,20,Madison St. & Vine St.,43/
66,13327,21,I St. & 2nd St.,"/21RX, 43/"
66,13328,22,I St. & 4th St.,"/21RX, 43/"
66,12550,23,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
67,12550,1,Downtown Transit Center,"21/, /21RX, 22/, 23/, 24/, 25/, 26/, 27/, 29/, 30/, 31/, 32/, 33/, 34/, 36/, 37/, 38/, 39/, 41/, 42/, 43/, /MAX / ACE, /MAX / BART"
67,12551,2,I St. & 7th St.,"21/, 26/, 36/, 43/"
67,12552,3,H St. & 4th St.,"21/, /21RX, 36/, 43/"
67,12554,4,H St. & 2nd St.,"21/, /21RX, 43/"
