stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7789,7789,Rosemarie Ln & McGaw St EB,,37.984753,-121.328272,,,,,,0
7767,7767,99 Frontage & Marfargoa Rd NB,,37.913691,-121.226126,,,,,,0
7791,7791,Meadow Ave & Hammer Ln SB,,38.021037,-121.345445,,,,,,0
4045,4045,Don Av & Santiago Ave SB,Don Ave & Santiago Ave SB,38.023374,-121.345482,,,,,,0
7792,7792,Farm & Gertrude EB,,37.969092,-121.23861,,,,,,0
4047,4047,Hammer Ln & Montauban EB,,38.020951,-121.289866,,,,,,0
4050,4050,Hammer Ln & Montauban WB,,38.02096,-121.289935,,,,,,0
4048,4048,Hammer Ln & Alexandria WB,,38.021231,-121.336153,,,,,,0
3982,3982,Park St & Center St WB,,37.959458,-121.293029,,,,,,0
4009,4009,Oro & Guersey Ave SB,,37.952335,-121.233569,,,,,,0
7794,7794,Morada Ln & Diamond Bar EB,,38.037052,-121.261039,,,,,,0
3983,3983,Inspiration Dr & Vernaccia Ln WB,,38.03086,-121.26174,,,,,,0
3984,3984,Inspiration Dr & Maranatha Dr WB,,38.031056,-121.264373,,,,,,0
3985,3985,Inspiration Dr & Rieti Ln WB,,38.031413,-121.26718,,,,,,0
7795,7795,Holman Rd & Inspiration Dr SB,,38.031493,-121.269664,,,,,,0
7796,7796,Holman Rd & Inspiration Dr NB,,38.031519,-121.269653,,,,,,0
3987,3987,March Ln & Weber Ranch Pkwy EB,,38.002268,-121.289891,,,,,,0
4055,4055,Holman Rd & Bryant NB,,38.027228,-121.269652,,,,,,0
3986,3986,March Ln & Weber Ranch Pkwy WB,,38.002714,-121.288155,,,,,,0
4056,4056,Knickerbocker & Tamoshanter EB,,38.022571,-121.300505,,,,,,0
7339,7339,Hammertown @ Kaiser EB,,38.016568,-121.295637,,,,,,0
4060,4060,Harlan Rd & Louise Av NB,Harlan Rd & Lousie Ave,37.812141,-121.291512,,,,,,0
4061,4061,Harlan Rd & Louise Av SB,,37.811856,-121.291535,,,,,,0
7803,7803,Harlan Rd & Lathrop Rd NB,,37.826356,-121.286887,,,,,,0
3990,3990,West Lane & Hammer Lane SB,,38.020878,-121.294892,,,,,,0
7807,7807,March Ln & Fred Russo EB,,38.005573,-121.276223,,,,,,0
7808,7808,March Ln & Fred Russo WB,,38.005573,-121.276303,,,,,,0
7810,7810,Main & Northgate NB,,37.817070,-121.217110,,,,,,0
7811,7811,Main & Northgate SB,,37.818100,-121.217450,,,,,,0
7814,7814,Davis Rd & Waterbury Dr SB,,38.054789,-121.333131,,,,,,0
7813,7813,Davis Rd & St. Moritz Cir NB,,38.05189,-121.332806,,,,,,0
4078,4078,O'Dell Ave & Downing NB,,37.914065,-121.281819,,,,,,0
4077,4077,O'Dell Ave & Downing Ave SB,,37.913993,-121.281796,,,,,,0
4079,4079,O'Dell Ave & Wait Ave SB,,37.91187,-121.280911,,,,,,0
4081,4081,Davis Rd & Whistler Wy SB,,38.048125,-121.332468,,,,,,0
4082,4082,Davis Rd & Theresa Cir NB,,38.038239,-121.331905,,,,,,0
4083,4083,Davis Rd & Chaparral Wy NB,,38.040613,-121.331896,,,,,,0
4084,4084,Davis Rd & Whistler Wy NB,,38.048152,-121.332468,,,,,,0
4085,4085,Brookside Rd & March Ln NB,,37.983806,-121.355179,,,,,,0
4086,4086,Rosemarie Ln & Crown Ave EB,,37.986372,-121.321745,,,,,,0
4091,4091,Louise Ave & Cambridge Dr EB,,37.811814,-121.283497,,,,,,0
4090,4090,Louise Ave & Cambridge Dr WB,,37.811823,-121.283554,,,,,,0
7823,7823,Pacific Av & Yokuts Dep NB Mb,,37.998652,-121.315606,,,,,,0
