trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops
t_156471_b_2753_tn_4,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_4,10:20:00,10:20:00,835001,15,,0,0,8140.84511733265,1,0
t_156471_b_2753_tn_4,10:26:00,10:26:00,768193,16,,0,0,9713.2042632724,1,0
t_156471_b_2753_tn_4,10:29:00,10:29:00,768401,17,,0,0,10404.7823031801,1,0
t_156471_b_2753_tn_4,,,768165,18,,0,0,10652.2143428474,0,0
t_156471_b_2753_tn_4,,,768172,19,,0,0,11056.5570338026,0,0
t_156471_b_2753_tn_4,,,768187,20,,0,0,11633.449217858,0,0
t_156471_b_2753_tn_4,,,768188,21,,0,0,12499.5625569853,0,0
t_156471_b_2753_tn_4,,,768189,22,,0,0,12958.7032306511,0,0
t_156471_b_2753_tn_4,10:33:00,10:33:00,768190,23,,0,0,13551.3182182691,1,0
t_156471_b_2753_tn_4,,,768170,24,,0,0,14455.3878373472,0,0
t_156471_b_2753_tn_4,,,768171,25,,0,0,14856.9498853199,0,0
t_156471_b_2753_tn_4,10:38:00,10:38:00,768398,26,,0,0,15692.7521023448,1,0
t_156471_b_2753_tn_4,10:43:00,10:43:00,768395,27,,0,0,17021.62125519,1,0
t_156471_b_2753_tn_5,11:00:00,11:00:00,768395,1,,0,0,0,1,0
t_156471_b_2753_tn_5,11:06:00,11:06:00,768346,2,,0,0,1528.86917125406,1,0
t_156471_b_2753_tn_5,,,768391,3,,0,0,2182.5810600238,0,0
t_156471_b_2753_tn_5,,,768386,4,,0,0,2713.07475786074,0,0
t_156471_b_2753_tn_5,,,768388,5,,0,0,3057.34968211005,0,0
t_156471_b_2753_tn_5,,,768378,6,,0,0,3402.24246237885,0,0
t_156471_b_2753_tn_5,11:11:00,11:11:00,768396,7,,0,0,3592.95486655556,1,0
t_156471_b_2753_tn_5,,,768374,8,,0,0,4044.50302060446,0,0
t_156471_b_2753_tn_5,,,768387,9,,0,0,4576.3991630371,0,0
t_156471_b_2753_tn_5,,,768163,10,,0,0,4952.91020493799,0,0
t_156471_b_2753_tn_5,,,768164,11,,0,0,5294.2473084283,0,0
t_156471_b_2753_tn_5,11:15:00,11:15:00,768381,12,,0,0,5572.68673072144,1,0
t_156471_b_2753_tn_5,,,768377,13,,0,0,6207.97635368874,0,0
t_156471_b_2753_tn_5,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_5,11:20:00,11:20:00,835001,15,,0,0,8140.84511733265,1,0
t_156471_b_2753_tn_5,11:26:00,11:26:00,768193,16,,0,0,9713.2042632724,1,0
t_156471_b_2753_tn_5,11:29:00,11:29:00,768401,17,,0,0,10404.7823031801,1,0
t_156471_b_2753_tn_5,,,768165,18,,0,0,10652.2143428474,0,0
t_156471_b_2753_tn_5,,,768172,19,,0,0,11056.5570338026,0,0
t_156471_b_2753_tn_5,,,768187,20,,0,0,11633.449217858,0,0
t_156471_b_2753_tn_5,,,768188,21,,0,0,12499.5625569853,0,0
t_156471_b_2753_tn_5,,,768189,22,,0,0,12958.7032306511,0,0
t_156471_b_2753_tn_5,11:33:00,11:33:00,768190,23,,0,0,13551.3182182691,1,0
t_156471_b_2753_tn_5,,,768170,24,,0,0,14455.3878373472,0,0
t_156471_b_2753_tn_5,,,768171,25,,0,0,14856.9498853199,0,0
t_156471_b_2753_tn_5,11:38:00,11:38:00,768398,26,,0,0,15692.7521023448,1,0
t_156471_b_2753_tn_5,11:43:00,11:43:00,768395,27,,0,0,17021.62125519,1,0
t_156471_b_2753_tn_6,12:00:00,12:00:00,768395,1,,0,0,0,1,0
t_156471_b_2753_tn_6,12:06:00,12:06:00,768346,2,,0,0,1528.86917125406,1,0
t_156471_b_2753_tn_6,,,768391,3,,0,0,2182.5810600238,0,0
t_156471_b_2753_tn_6,,,768386,4,,0,0,2713.07475786074,0,0
t_156471_b_2753_tn_6,,,768388,5,,0,0,3057.34968211005,0,0
t_156471_b_2753_tn_6,,,768378,6,,0,0,3402.24246237885,0,0
t_156471_b_2753_tn_6,12:11:00,12:11:00,768396,7,,0,0,3592.95486655556,1,0
t_156471_b_2753_tn_6,,,768374,8,,0,0,4044.50302060446,0,0
t_156471_b_2753_tn_6,,,768387,9,,0,0,4576.3991630371,0,0
t_156471_b_2753_tn_6,,,768163,10,,0,0,4952.91020493799,0,0
t_156471_b_2753_tn_6,,,768164,11,,0,0,5294.2473084283,0,0
t_156471_b_2753_tn_6,12:15:00,12:15:00,768381,12,,0,0,5572.68673072144,1,0
t_156471_b_2753_tn_6,,,768377,13,,0,0,6207.97635368874,0,0
t_156471_b_2753_tn_6,,,768392,14,,0,0,6589.18839644329,0,0
t_156471_b_2753_tn_6,12:20:00,12:20:00,835001,15,,0,0,8140.84511733265,1,0
t_156471_b_2753_tn_6,12:26:00,12:26:00,768193,16,,0,0,9713.2042632724,1,0
t_156471_b_2753_tn_6,12:29:00,12:29:00,768401,17,,0,0,10404.7823031801,1,0
t_156471_b_2753_tn_6,,,768165,18,,0,0,10652.2143428474,0,0
t_156471_b_2753_tn_6,,,768172,19,,0,0,11056.5570338026,0,0
t_156471_b_2753_tn_6,,,768187,20,,0,0,11633.449217858,0,0
t_156471_b_2753_tn_6,,,768188,21,,0,0,12499.5625569853,0,0
t_156471_b_2753_tn_6,,,768189,22,,0,0,12958.7032306511,0,0
t_156471_b_2753_tn_6,12:33:00,12:33:00,768190,23,,0,0,13551.3182182691,1,0
t_156471_b_2753_tn_6,,,768170,24,,0,0,14455.3878373472,0,0
t_156471_b_2753_tn_6,,,768171,25,,0,0,14856.9498853199,0,0
t_156471_b_2753_tn_6,12:38:00,12:38:00,768398,26,,0,0,15692.7521023448,1,0
t_156471_b_2753_tn_6,12:43:00,12:43:00,768395,27,,0,0,17021.62125519,1,0
t_156471_b_2753_tn_7,13:00:00,13:00:00,768395,1,,0,0,0,1,0
t_156471_b_2753_tn_7,13:06:00,13:06:00,768346,2,,0,0,1528.86917125406,1,0
t_156471_b_2753_tn_7,,,768391,3,,0,0,2182.5810600238,0,0
t_156471_b_2753_tn_7,,,768386,4,,0,0,2713.07475786074,0,0
t_156471_b_2753_tn_7,,,768388,5,,0,0,3057.34968211005,0,0
t_156471_b_2753_tn_7,,,768378,6,,0,0,3402.24246237885,0,0
t_156471_b_2753_tn_7,13:11:00,13:11:00,768396,7,,0,0,3592.95486655556,1,0
t_156471_b_2753_tn_7,,,768374,8,,0,0,4044.50302060446,0,0
t_156471_b_2753_tn_7,,,768387,9,,0,0,4576.3991630371,0,0
t_156471_b_2753_tn_7,,,768163,10,,0,0,4952.91020493799,0,0
t_156471_b_2753_tn_7,,,768164,11,,0,0,5294.2473084283,0,0
t_156471_b_2753_tn_7,13:15:00,13:15:00,768381,12,,0,0,5572.68673072144,1,0
