shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2964250742505,34.0539883299802,-118.241627812386,92,19683.8192
2964250742505,34.0533572121034,-118.240914344788,93,19999.6312
2964250742505,34.0540683305022,-118.240235745907,94,20330.714
2964250742505,34.0541727755147,-118.240005075932,95,20410.2559
2964250742505,34.0546283320429,-118.239605426788,96,20615.9394
2964250742505,34.0547527763273,-118.239562511444,97,20663.2082
2964250742505,34.0553527729919,-118.239009976387,98,20938.8367
2964250742505,34.0563349805874,-118.238226771355,99,21368.7717
2964250742505,34.0563794241009,-118.238173127174,100,21391.7279
2964250742505,34.0563949793251,-118.238073885441,101,21422.2875
2964250742505,34.0563749797506,-118.237969279289,102,21454.7703
2964250742505,34.0562149829847,-118.23772251606,103,21549.5841
2964250742505,34.0561172070346,-118.237438201904,104,21642.7295
2964250742505,34.0565749752832,-118.237309455872,105,21814.3949
