stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
80248,80248,Stony Point Rd @ Mesa Way,38.424644,-122.740959,0
80249,80249,Hwy 12 @ Acacia Ln,38.462616,-122.668968,0
80250,80250,Guerneville Rd @ Peterson Ln,38.452477,-122.763977,0
80251,80251,Guerneville Rd @ Gamay St,38.452503,-122.757133,0
80252,80252,Chanate Rd @ Cobblestone Dr,38.468807,-122.706238,0
80253,80253,West Third St @ Wilson St,38.436573,-122.720306,0
80254,80254,West Third St @ Pierson St,38.435623,-122.72229,0
80255,80255,West Third St @ Dutton Ave,38.433937,-122.727745,0
80256,80256,West Third St @ Surrey Dr,38.433395,-122.735924,0
80257,80257,West Third St @ Westbrook Dr,38.433685,-122.740013,0
80258,80258,West Third St @ Stony Point Rd,38.433952,-122.742821,0
80259,80259,West Third St @ Chadwick Pl,38.434944,-122.749504,0
80260,80260,West Third St @ Brittain Ln,38.435444,-122.753448,0
80261,80261,West Third St @ Arboleda Dr,38.436234,-122.755859,0
80262,80262,West Third St @ Valley West Dr,38.437115,-122.75869,0
80263,80263,West Third St @ Senna Dr,38.438061,-122.761894,0
80264,80264,West Third St @ Darla Dr,38.438091,-122.766487,0
80265,80265,West Third St @ Fulton Rd,38.43811,-122.76963,0
80266,80266,Fulton Rd @ Placer Dr,38.440868,-122.769524,0
80267,80267,Fulton Rd @ Chatham Dr,38.444054,-122.769524,0
80268,80268,Fulton Rd @ West College Ave,38.445595,-122.769508,0
80269,80269,Fulton Rd @ Gordon Creek Dr,38.449589,-122.769577,0
80270,80270,Fulton Rd @ Guerneville Rd,38.453007,-122.769539,0
80271,80271,Fulton Rd @ Appletree Dr,38.455181,-122.769608,0
80272,80272,1700 Fulton Rd-Piner High School,38.460503,-122.769661,0
80273,80273,Fulton Rd @ Quail Hollow Dr,38.463463,-122.769676,0
80274,80274,Fulton Rd @ Piner Rd,38.466526,-122.769707,0
80275,80275,Piner Rd @ Pinercrest Dr,38.467106,-122.766434,0
80276,80276,Piner Rd @ Peterson Ln,38.467129,-122.762321,0
80277,80277,Piner Rd @ Waltzer Rd,38.467121,-122.755966,0
80278,80278,Marlow Rd @ Piner Rd,38.46682,-122.751244,0
80279,80279,Marlow Rd @ Marsh Rd,38.462139,-122.751266,0
80280,80280,West Steele Ln @ Rochele St,38.459759,-122.750015,0
80281,80281,West Steele Ln @ Apache St,38.459736,-122.745262,0
80282,80282,West Steele Ln @ Coffey Ln,38.459942,-122.740982,0
80283,80283,West Steele Ln @ Dorado Ct,38.459984,-122.73735,0
80284,80284,West Steele Ln @ Range Ave,38.459969,-122.733246,0
80285,80285,West Steele Ln @ Hardies Ln,38.460003,-122.734619,0
80286,80286,West Steele Ln @ Heidi Pl,38.460011,-122.736885,0
80287,80287,West Steele Ln @ Coffey Ln,38.459984,-122.741089,0
80288,80288,West Steele Ln @ Apache St,38.459778,-122.74556,0
80289,80289,West Steele Ln @ Marlow Rd,38.459789,-122.750717,0
80291,80291,Marlow Rd @ Piner Rd,38.466518,-122.751068,0
80292,80292,Piner Rd @ Waltzer Rd,38.46719,-122.755478,0
80293,80293,Piner Rd @ Peterson Ln,38.467236,-122.763786,0
80294,80294,1700 Fulton Rd-Piner High School,38.461792,-122.769791,0
80295,80295,Fulton Rd @ Wishing Well Wy,38.456989,-122.769814,0
80296,80296,Fulton Rd @ Guerneville Rd,38.451859,-122.769791,0
80297,80297,Fulton Rd @ West College Ave,38.445766,-122.76976,0
80299,80299,West Third St @ Darla Dr,38.437923,-122.768501,0
80300,80300,West Third St @ Senna Dr,38.43787,-122.761993,0
80301,80301,West Third St @ Valley West Dr,38.436756,-122.757851,0
80302,80302,West Third St @ Brittain Ln,38.435291,-122.752777,0
80303,80303,West Third St @ Harvest Ln,38.434208,-122.747871,0
80304,80304,West Third St @ Brockhurst Dr,38.433773,-122.743965,0
80305,80305,West Third St @ Stony Point Rd,38.433689,-122.741219,0
80306,80306,West Third St @ Rusch Ct,38.433189,-122.73494,0
