route_id,service_id,trip_id,trip_headsign,block_id,shape_id,trip_index,trp_time_end,trp_place_end,trp_place_end_descr,trp_trip_ST,trp_block,trp_operating_days
22-119,20182D-vs20182D-Weekday-12,3432301-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588444,220003,4609,13:50:00,mrnlab,"Seymour Center",1,1558,
22-119,20182D-vs20182D-Weekday-12,3432302-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588457,220003,4610,14:50:00,mrnlab,"Seymour Center",1,1561,
22-119,20182D-vs20182D-Weekday-12,3432303-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588457,220003,4611,15:50:00,mrnlab,"Seymour Center",1,1561,
22-119,20182D-vs20182D-Weekday-12,3432304-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588458,220003,4612,16:50:00,mrnlab,"Seymour Center",1,1557,
22-119,20182D-vs20182D-Weekday-12,3432305-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588458,220003,4613,17:50:00,mrnlab,"Seymour Center",1,1557,
22-119,20182D-vs20182D-Weekday-12,3432306-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588458,220003,4614,18:50:00,mrnlab,"Seymour Center",1,1557,
22-119,20182D-vs20182D-Weekday-12,3432316-20182D-vs20182D-Weekday-12,"22 - University / Coastal Science Campus",588450,220004,4615,07:50:00,mrnlab,"Seymour Center",1,1552,
15-119,20182D-vs20182D-Weekday-12-0101000,3432317-20182D-vs20182D-Weekday-12-0101000,"15 - University via Laurel West",588447,150004,4616,15:03:00,scmc,"Santa Cruz Metro Center",1,1576,Tu/Th
10-119,20182D-vs20182D-Weekday-12-0101000,3432320-20182D-vs20182D-Weekday-12-0101000,"10 - University via High St.",588443,100003,4617,18:55:00,scmc,"Santa Cruz Metro Center",1,1578,Tu/Th
20D-119,20182D-vs20182D-Weekday-12,3432321-20182D-vs20182D-Weekday-12,"20D - Delaware (regular billing)",588452,20D0006,4618,14:58:00,baylag,"Bay & Laguna",1,1559,
16-119,20182D-vs20182D-Weekday-12-0101000,3432327-20182D-vs20182D-Weekday-12-0101000,"16 - University via Laurel East",588443,160014,4619,16:35:00,scmc,"Santa Cruz Metro Center",1,1578,Tu/Th
15-119,20182D-vs20182D-Weekday-12-1010100,3432330-20182D-vs20182D-Weekday-12-1010100,"15 - University via Laurel West",588465,150005,4620,08:45:00,baymis,"Bay & Mission",1,1571,M/W/F
15-119,20182D-vs20182D-Weekday-12-1010100,3432331-20182D-vs20182D-Weekday-12-1010100,"15 - University via Laurel West",588465,150006,4621,09:29:00,scmc,"Santa Cruz Metro Center",1,1571,M/W/F
16-119,20182D-vs20182D-Weekday-12-1010100,3432332-20182D-vs20182D-Weekday-12-1010100,"16 - University via Laurel East",588465,160011,4622,10:15:00,baymis,"Bay & Mission",1,1571,M/W/F
16-119,20182D-vs20182D-Weekday-12-1010100,3432333-20182D-vs20182D-Weekday-12-1010100,"16 - University via Laurel East",588465,160012,4623,10:59:00,scmc,"Santa Cruz Metro Center",1,1571,M/W/F
15-119,20182D-vs20182D-Weekday-12-1010100,3432336-20182D-vs20182D-Weekday-12-1010100,"15 - University via Laurel West",588462,150005,4624,10:00:00,baymis,"Bay & Mission",1,1573,M/W/F
16-119,20182D-vs20182D-Weekday-12-1010100,3432337-20182D-vs20182D-Weekday-12-1010100,"16 - University via Laurel East",588462,160012,4625,10:44:00,scmc,"Santa Cruz Metro Center",1,1573,M/W/F
15-119,20182D-vs20182D-Weekday-12-1010100,3432338-20182D-vs20182D-Weekday-12-1010100,"15 - University via Laurel West",588462,150004,4626,11:45:00,scmc,"Santa Cruz Metro Center",1,1573,M/W/F
15-119,20182D-vs20182D-Weekday-12-1010100,3432339-20182D-vs20182D-Weekday-12-1010100,"15 - University via Laurel West",588462,150004,4627,12:55:00,scmc,"Santa Cruz Metro Center",1,1573,M/W/F
15-119,20182D-vs20182D-Weekday-12-1010100,3432342-20182D-vs20182D-Weekday-12-1010100,"15 - University via Laurel West",588463,150004,4628,14:15:00,scmc,"Santa Cruz Metro Center",1,1575,M/W/F
16-119,20182D-vs20182D-Weekday-12-1010100,3432344-20182D-vs20182D-Weekday-12-1010100,"16 - University via Laurel East",588463,160014,4629,16:30:00,scmc,"Santa Cruz Metro Center",1,1575,M/W/F
15-119,20182D-vs20182D-Weekday-12-1010100,3432345-20182D-vs20182D-Weekday-12-1010100,"15 - University via Laurel West",588463,150004,4630,17:20:00,scmc,"Santa Cruz Metro Center",1,1575,M/W/F
16-119,20182D-vs20182D-Weekday-12-1010100,3432348-20182D-vs20182D-Weekday-12-1010100,"16 - University via Laurel East",588464,160014,4631,15:55:00,scmc,"Santa Cruz Metro Center",1,1577,M/W/F
16-119,20182D-vs20182D-Weekday-12-1010100,3432350-20182D-vs20182D-Weekday-12-1010100,"16 - University via Laurel East",588464,160014,4632,18:05:00,scmc,"Santa Cruz Metro Center",1,1577,M/W/F
22-119,20182D-vs20182D-Weekday-12-1010100,3432352-20182D-vs20182D-Weekday-12-1010100,"22 - University / Coastal Science Campus",588464,220003,4633,17:00:00,mrnlab,"Seymour Center",1,1577,M/W/F
22-119,20182D-vs20182D-Weekday-12-1010100,3432353-20182D-vs20182D-Weekday-12-1010100,"22 - University / Coastal Science Campus",588464,220003,4634,19:25:00,mrnlab,"Seymour Center",1,1577,M/W/F
22-119,20182D-vs20182D-Weekday-12-1010100,3432354-20182D-vs20182D-Weekday-12-1010100,"22 - University / Coastal Science Campus",588463,220003,4635,15:20:00,mrnlab,"Seymour Center",1,1575,M/W/F
20D-119,20182D-vs20182D-Weekday-12,3432357-20182D-vs20182D-Weekday-12,"20D - Delaware (regular billing)",588452,20D0006,4636,12:58:00,baylag,"Bay & Laguna",1,1559,
20D-119,20182D-vs20182D-Weekday-12,3432358-20182D-vs20182D-Weekday-12,"20D - Delaware (regular billing)",588452,20D0006,4637,13:58:00,baylag,"Bay & Laguna",1,1559,
17-119,20182D-vs20182D-Weekday-12,3432360-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588466,170016,4638,05:46:00,snfrn5,"San Fernando & 5th",0,1701,
17-119,20182D-vs20182D-Weekday-12,3432362-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588466,170040,4639,07:06:00,scmc2,"Santa Cruz Metro Lane 2",0,1701,
17-119,20182D-vs20182D-Weekday-12,3432363-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588466,170016,4640,09:13:00,snfrn5,"San Fernando & 5th",0,1701,
17-119,20182D-vs20182D-Weekday-12,3432365-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588466,170039,4641,10:43:00,scmc2,"Santa Cruz Metro Lane 2",0,1701,
17-119,20182D-vs20182D-Weekday-12,3432368-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588467,170016,4642,06:31:00,snfrn5,"San Fernando & 5th",0,1702,
17-119,20182D-vs20182D-Weekday-12,3432370-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588467,170040,4643,08:16:00,scmc2,"Santa Cruz Metro Lane 2",0,1702,
17-119,20182D-vs20182D-Weekday-12,3432371-20182D-vs20182D-Weekday-12,"17 - San Jose",588467,170018,4644,09:48:00,snfrn5,"San Fernando & 5th",0,1702,
17-119,20182D-vs20182D-Weekday-12,3432373-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro",588467,170041,4645,11:08:00,scmc2,"Santa Cruz Metro Lane 2",0,1702,
17-119,20182D-vs20182D-Weekday-12,3432376-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588468,170016,4646,06:51:00,snfrn5,"San Fernando & 5th",0,1703,
17-119,20182D-vs20182D-Weekday-12,3432379-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588469,170016,4647,07:13:00,snfrn5,"San Fernando & 5th",0,1704,
17-119,20182D-vs20182D-Weekday-12,3432381-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588469,170040,4648,09:01:00,scmc2,"Santa Cruz Metro Lane 2",0,1704,
17-119,20182D-vs20182D-Weekday-12,3432384-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588470,170016,4649,07:48:00,snfrn5,"San Fernando & 5th",0,1705,
17-119,20182D-vs20182D-Weekday-12,3432386-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588470,170040,4650,09:41:00,scmc2,"Santa Cruz Metro Lane 2",0,1705,
17-119,20182D-vs20182D-Weekday-12,3432387-20182D-vs20182D-Weekday-12,"17 - San Jose",588470,170018,4651,11:13:00,snfrn5,"San Fernando & 5th",0,1705,
17-119,20182D-vs20182D-Weekday-12,3432389-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro",588470,170041,4652,12:38:00,scmc2,"Santa Cruz Metro Lane 2",0,1705,
17-119,20182D-vs20182D-Weekday-12,3432390-20182D-vs20182D-Weekday-12,"17 - San Jose",588470,170018,4653,14:08:00,snfrn5,"San Fernando & 5th",0,1705,
17-119,20182D-vs20182D-Weekday-12,3432392-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588470,170039,4654,15:49:00,scmc2,"Santa Cruz Metro Lane 2",0,1705,
17-119,20182D-vs20182D-Weekday-12,3432393-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588470,170019,4655,17:51:00,snfrn5,"San Fernando & 5th",0,1705,
17-119,20182D-vs20182D-Weekday-12,3432395-20182D-vs20182D-Weekday-12,"17 - Santa Cruz Metro via SVTC",588470,170039,4656,19:21:00,scmc2,"Santa Cruz Metro Lane 2",0,1705,
17-119,20182D-vs20182D-Weekday-12,3432398-20182D-vs20182D-Weekday-12,"17 - San Jose via SVTC",588471,170016,4657,08:08:00,snfrn5,"San Fernando & 5th",0,1706,
