stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,is_trans_ctr,at_trans_ctr,direction
1087,1087,"Freedom Blvd & Emme",,  36.939388,-121.780052,,http://scmtd.com/stop/1087,0,,,,0,0,1
1088,1088,"Freedom Blvd & Compton Ter",,  36.939522,-121.779884,,http://scmtd.com/stop/1088,0,,,,0,0,2
1089,1089,"Freedom Blvd & Bowker Rd",,  36.944496,-121.787468,,http://scmtd.com/stop/1089,0,,,,0,0,1
1090,1090,"Freedom Blvd & Bowker Rd",,  36.944565,-121.787308,,http://scmtd.com/stop/1090,0,,,,0,0,2
1091,1091,"S Green Valley Rd & Melwood",,  36.919697,-121.783035,,http://scmtd.com/stop/1091,0,,,,0,0,2
1092,1092,"S Green Valley Rd & Melwood",,  36.920185,-121.783089,,http://scmtd.com/stop/1092,0,,,,0,0,2
1093,1093,"S Green Valley Rd & Oakridge",,  36.923981,-121.780571,,http://scmtd.com/stop/1093,0,,,,0,0,2
1094,1094,"S Green Valley Rd & Hope Dr (Kingdom Hall)",,  36.928143,-121.778175,,http://scmtd.com/stop/1094,0,,,,0,0,2
1095,1095,"S Green Valley Rd & Pennsylvania Dr",,  36.930405,-121.776855,,http://scmtd.com/stop/1095,0,,,,0,0,2
1097,1097,"Green Valley Rd & Freedom Blvd",,  36.935593,-121.772751,,http://scmtd.com/stop/1097,0,,,,0,0,2
1098,1098,"Green Valley Rd & Holohan Rd (The Towers)",,  36.939835,-121.770195,,http://scmtd.com/stop/1098,0,,,,0,0,1
1099,1099,"Green Valley Rd & Holohan Rd (The Towers)",,  36.939571,-121.770050,,http://scmtd.com/stop/1099,0,,,,0,0,2
1100,1100,"Green Valley Rd & Carnation Dr (Medical Plaza)",,  36.937897,-121.770973,,http://scmtd.com/stop/1100,0,,,,0,0,2
1101,1101,"Green Valley Rd & Amesti Rd",,  36.946037,-121.766762,,http://scmtd.com/stop/1101,0,,,,0,0,2
1102,1102,"Green Valley Rd & Amesti Rd",,  36.945976,-121.766525,,http://scmtd.com/stop/1102,0,,,,0,0,1
1103,1103,"Green Valley Rd & Behler Rd (Pinto Lake Pk)",,  36.948223,-121.765282,,http://scmtd.com/stop/1103,0,,,,0,0,1
1105,1105,"Green Valley Rd & Mello View Ln",,  36.950825,-121.764969,,http://scmtd.com/stop/1105,0,,,,0,0,2
1106,1106,"Green Valley Rd & Minto Rd",,  36.951668,-121.764816,,http://scmtd.com/stop/1106,0,,,,0,0,1
1109,1109,"Green Valley Rd & Trembly Ln",,  36.958069,-121.764832,,http://scmtd.com/stop/1109,0,,,,0,0,1
1110,1110,"Green Valley Rd & Klassen Ln",,  36.961384,-121.765038,,http://scmtd.com/stop/1110,0,,,,0,0,2
1111,1111,"Green Valley Rd & Klassen Ln",,  36.961143,-121.764877,,http://scmtd.com/stop/1111,0,,,,0,0,1
1112,1112,"Green Valley Rd & Dalton Ln",,  36.963707,-121.764847,,http://scmtd.com/stop/1112,0,,,,0,0,1
1113,1113,"Green Valley Rd & Rancho Todos Santos Rd",,  36.963921,-121.765060,,http://scmtd.com/stop/1113,0,,,,0,0,2
