shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
DB0073,-122.159312,37.452332,70004,
DB0073,-122.159486,37.452439,70005,
DB0073,-122.16058,37.453124,70006,
DB0073,-122.160822,37.453276,70007,
DB0073,-122.16085,37.453295,70008,
DB0073,-122.161012,37.453394,70009,
DB0073,-122.161182,37.453483,70010,
DB0073,-122.161233,37.453506,70011,
DB0073,-122.161289,37.453526,70012,
DB0073,-122.161343,37.453544,70013,
DB0073,-122.16143,37.453568,70014,
DB0073,-122.161567,37.453605,70015,
DB0073,-122.161997,37.453725,70016,
DB0073,-122.162278,37.453802,70017,
DB0073,-122.162404,37.453839,70018,
DB0073,-122.162524,37.453876,70019,
DB0073,-122.1626994,37.4539373,70020,
DB0073,-122.16271,37.453941,70021,
DB0073,-122.16284,37.453991,70022,
DB0073,-122.162941,37.454028,70023,
DB0073,-122.1630661,37.4540803,70024,
DB0073,-122.1632587,37.4541671,70025,
DB0073,-122.163382,37.454221,70026,
DB0073,-122.163462,37.454258,70027,
DB0073,-122.163515,37.454341,70028,
DB0073,-122.1638272,37.4545171,70029,
DB0073,-122.1638272,37.4545171,80001,
DB0073,-122.163976,37.454601,80002,
DB0073,-122.163771,37.454919,80003,
DB0073,-122.1636144,37.4551628,80004,
DB0073,-122.163604,37.455188,80005,
DB0073,-122.163616,37.45527,80006,
DB0073,-122.163566,37.455362,80007,
DB0073,-122.163431,37.455618,80008,
DB0073,-122.1633762,37.4557336,80009,
DB0073,-122.163241,37.456019,80010,
DB0073,-122.1631506,37.4561975,80011,
DB0073,-122.1630898,37.4563176,80012,
DB0073,-122.1630898,37.4563176,90001,
DB0073,-122.161786,37.458894,90002,
DB0073,-122.161588,37.459302,90003,
DB0073,-122.161462,37.459569,90004,
DB0073,-122.161411,37.459602,90005,
DB0073,-122.161256,37.4598254,90006,
DB0073,-122.1611839,37.4599293,90007,
DB0073,-122.1611839,37.4599293,100001,
DB0073,-122.161173,37.459945,100002,
DB0073,-122.16105,37.460115,100003,
DB0073,-122.161013,37.460152,100004,
DB0073,-122.160583,37.460588,100005,
DB0073,-122.16054,37.460631,100006,
DB0073,-122.160523,37.460706,100007,
DB0073,-122.160426,37.460796,100008,
DB0073,-122.160265,37.460972,100009,
DB0073,-122.1601569,37.4611037,100010,
DB0073,-122.1600605,37.4612231,100011,
DB0073,-122.1600605,37.4612231,110001,
DB0073,-122.159971,37.461334,110002,
DB0073,-122.1596924,37.46177,110003,
DB0073,-122.159532,37.462021,110004,
DB0073,-122.159476,37.462101,110005,
DB0073,-122.159444,37.462148,110006,
DB0073,-122.159409,37.462201,110007,
DB0073,-122.159377,37.462244,110008,
DB0073,-122.159327,37.462315,110009,
DB0073,-122.159281,37.462374,110010,
DB0073,-122.159247,37.462416,110011,
DB0073,-122.159189,37.462483,110012,
DB0073,-122.159112,37.462568,110013,
DB0073,-122.159032,37.462655,110014,
DB0073,-122.158975,37.462712,110015,
DB0073,-122.158934,37.462755,110016,
DB0073,-122.15883,37.462854,110017,
DB0073,-122.158714,37.462888,110018,
DB0073,-122.158482,37.463107,110019,
DB0073,-122.1584,37.463172,110020,
DB0073,-122.158292,37.46326,110021,
DB0073,-122.1582374,37.4633104,110022,
DB0073,-122.1582374,37.4633104,120001,
DB0073,-122.158151,37.46339,120002,
DB0073,-122.1581091,37.4634368,120003,
DB0073,-122.158025,37.463531,120004,
DB0073,-122.157985,37.463578,120005,
DB0073,-122.157912,37.463676,120006,
DB0073,-122.15781,37.46383,120007,
DB0073,-122.157777,37.463881,120008,
DB0073,-122.157689,37.464039,120009,
DB0073,-122.157626,37.464166,120010,
DB0073,-122.157545,37.464338,120011,
DB0073,-122.157478,37.464516,120012,
DB0073,-122.1574349,37.4646873,120013,
DB0073,-122.157432,37.464699,120014,
DB0073,-122.157399,37.464883,120015,
DB0073,-122.157377,37.465026,120016,
DB0073,-122.157362,37.465086,120017,
DB0073,-122.15735,37.46514,120018,
DB0073,-122.157279,37.465355,120019,
DB0073,-122.157225,37.465485,120020,
DB0073,-122.15716,37.465608,120021,
DB0073,-122.157082,37.465725,120022,
DB0073,-122.156977,37.465845,120023,
DB0073,-122.156898,37.465934,120024,
DB0073,-122.1566936,37.4661421,120025,
DB0073,-122.1566936,37.4661421,130001,
DB0073,-122.1564609,37.4663791,130002,
DB0073,-122.156408,37.466433,130003,
DB0073,-122.156289,37.466558,130004,
DB0073,-122.156175,37.466678,130005,
DB0073,-122.156082,37.466781,130006,
DB0073,-122.155984,37.466886,130007,
DB0073,-122.155791,37.467118,130008,
DB0073,-122.155748,37.467174,130009,
DB0073,-122.155697,37.46725,130010,
DB0073,-122.155606,37.467391,130011,
DB0073,-122.155561,37.467471,130012,
DB0073,-122.155528,37.467539,130013,
DB0073,-122.155494,37.467613,130014,
DB0073,-122.15547,37.467679,130015,
DB0073,-122.155446,37.467739,130016,
DB0073,-122.155423,37.467809,130017,
DB0073,-122.155403,37.467874,130018,
DB0073,-122.155381,37.467953,130019,
DB0073,-122.155334,37.468148,130020,
DB0073,-122.155271,37.468457,130021,
DB0073,-122.1552423,37.468581,130022,
DB0073,-122.1552012,37.4687652,130023,
DB0073,-122.155161,37.46896,130024,
