stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00687,,"Arrow Hwy and Lyman Ave W",,  34.106570,-117.849964,,,0,
00688,,"Arrow Hwy and Maimone Ave E",,  34.106590,-117.823883,,,0,
00689,,"Arrow Hwy and Maimone Ave W",,  34.106763,-117.824015,,,0,
00690,,"Arrow Hwy and Maine Ave E",,  34.106802,-117.960083,,,0,
00691,,"Arrow Hwy and Maine Ave W",,  34.107011,-117.959360,,,0,
00692,,"Arrow Hwy and Mariposa St E",,  34.089898,-117.752558,,,0,
00693,,"Arrow Hwy and Mariposa St W",,  34.090086,-117.753258,,,0,
00695,,"Arrow Hwy and Monte Vista Ave E",,  34.092345,-117.698549,,,0,
00697,,"Arrow Hwy and Orange Grove Ave W",,  34.090115,-117.742226,,,0,
00698,,"Arrow Hwy and Rennell Ave E",,  34.106589,-117.833033,,,0,
00704,,"Arrow Hwy and Towne Ave E",,  34.090022,-117.737101,,,0,
00705,,"Arrow Hwy and Towne Ave W",,  34.090157,-117.737302,,,0,
00707,,"Arrow Hwy and Valley Center Ave E",,  34.106596,-117.837989,,,0,
00708,,"Arrow Hwy and Valley Center Ave W",,  34.106766,-117.837417,,,0,
00709,,"Arrow Hwy and Vincent Ave E",,  34.106866,-117.925652,,,0,
00710,,"Arrow Hwy and Vincent Ave W",,  34.107080,-117.925153,,,0,
00711,,"Arrow Hwy and White Ave E",,  34.093751,-117.763919,,,0,
00725,,"Avenida Rancheros and Golden Springs N",,  34.037594,-117.794441,,,0,
00728,,"Avenida Rancheros and Santa Clara N",,  34.036955,-117.787468,,,0,
00729,,"Avenida Rancheros and Santa Clara S",,  34.037091,-117.787530,,,0,
00733,,"Azusa and 1st St. N",,  34.122021,-117.907506,,,0,
00734,,"Azusa and 3rd St. N",,  34.126088,-117.907518,,,0,
00736,,"Azusa and 5th St. N",,  34.129754,-117.907480,,,0,
00738,,"Azusa and Amar N",,  34.031554,-117.914520,,,0,
00739,,"Azusa and Amar S",,  34.031158,-117.915065,,,0,
00740,,"Azusa and Aroma N",,  34.047662,-117.908000,,,0,
00741,,"Azusa and Arrow Hwy S",,  34.106397,-117.907817,,,0,
00742,,"Azusa and Badillo N",,  34.086846,-117.907663,,,0,
00743,,"Azusa and Badillo S",,  34.086769,-117.907928,,,0,
00744,,"Azusa and Cameron N",,  34.061412,-117.907774,,,0,
00745,,"Azusa and Cameron S",,  34.060827,-117.908006,,,0,
00746,,"Azusa and Cortez N",,  34.065078,-117.907701,,,0,
00747,,"Azusa and Cortez S",,  34.064982,-117.907938,,,0,
00748,,"Azusa and Covina Blvd. S",,  34.099159,-117.907874,,,0,
00749,,"Azusa and Covina N",,  34.099195,-117.907623,,,0,
00750,,"Azusa and Cypress N",,  34.095529,-117.907627,,,0,
00751,,"Azusa and Cypress S",,  34.095422,-117.907898,,,0,
00754,,"Azusa and Fairgrove N",,  34.042886,-117.911085,,,0,
00755,,"Azusa and Fairgrove S",,  34.042968,-117.911405,,,0,
00756,,"Azusa and Foothill N",,  34.133029,-117.907454,,,0,
00757,,"Azusa and Francisquito N",,  34.050410,-117.907918,,,0,
00758,,"Azusa and Francisquito S",,  34.049929,-117.908156,,,0,
00759,,"Azusa and Gale N",,  34.000458,-117.930616,,,0,
00760,,"Azusa and Gale S",,  34.000557,-117.930929,,,0,
00761,,"Azusa and Gemini N",,  34.018952,-117.919816,,,0,
00762,,"Azusa and Gemini S",,  34.018851,-117.920136,,,0,
00763,,"Azusa and Gladstone N",,  34.114556,-117.907540,,,0,
00764,,"Azusa and Gladstone S",,  34.114457,-117.907811,,,0,
00765,,"Azusa and Grenoble S",,  34.047566,-117.908238,,,0,
00766,,"Azusa and Grondahl N",,  34.102457,-117.907587,,,0,
00767,,"Azusa and Grondahl S",,  34.102174,-117.907851,,,0,
00768,,"Azusa and Hurley N",,  34.011580,-117.923420,,,0,
00769,,"Azusa and Hurley S",,  34.011516,-117.923849,,,0,
00770,,"Azusa and Main S",,  34.013077,-117.923214,,,0,
00771,,"Azusa and Merced N",,  34.054127,-117.907858,,,0,
